UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   92730   Characters
    1988   Errors
   97.86%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   97.86%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
     344      597     1047     1988   Unmarked
     344      597     1047     1988   Total

   Count   Missed   %Right
   15262       86    99.44   ASCII Spacing Characters
    1540      299    80.58   ASCII Special Symbols
     261       58    77.78   ASCII Digits
      46       46     0.00   Latin1 Spacing Characters
      14       14     0.00   Latin1 Special Symbols
   72600      235    99.68   Basic Arabic
    3007      203    93.25   Arabic Extended
   92730      941    98.99   Total

  Errors   Marked   Correct-Generated
     741        0   {}-{ }
     118        0   {ٔ}-{}
      64        0   {)}-{(}
      60        0   {(}-{)}
      30        0   {[}-{]}
      29        0   {}-{م}
      28        0   {ٓ}-{}
      27        0   { }-{ }
      27        0   {}-{ي}
      26        0   { (}-{)}
      22        0   {) }-{(}
      22        0   {]}-{[}
      22        0   {}-{. }
      21        0   {}-{ل}
      19        0   { }-{}
      15        0   { }-{}
      14        0   {ئ}-{ث}
      13        0   {ٓ}-{ٔ}
      13        0   {ٕ}-{}
      13        0   {}-{ا}
      13        0   {}-{ٔ}
      12        0   {}-{.}
       9        0   {ـ}-{س}
       9        0   {ٕ}-{ٔ}
       8        0   {2)}-{}
       8        0   {ع}-{}
       8        0   {ي}-{ ب}
       8        0   {ي}-{ب}
       8        0   {}-{س}
       8        0   {}-{و}
       7        0   {خ}-{ح}
       7        0   {}-{ر}
       7        0   {}-{ف}
       7        0   {«}-{»}
       6        0   {- }-{}
       6        0   {ا}-{}
       6        0   {ز] (4)}-{را)1}
       6        0   {ن (2)}-{ياز)1(}
       6        0   {ه}-{ة}
       6        0   {}-{م }
       6        0   {}-{ن}
       5        0   { (2) }-{ها11}
       5        0   {4}-{}
       5        0   {ة}-{ه}
       5        0   {ث}-{ي}
       5        0   {ح}-{خ}
       5        0   {ذ}-{د}
       5        0   {ع}-{م}
