UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   42230   Characters
   10440   Errors
   75.28%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   75.28%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
    2246     6843     1351    10440   Unmarked
    2246     6843     1351    10440   Total

   Count   Missed   %Right
    9433     1764    81.30   ASCII Spacing Characters
    1362      793    41.78   ASCII Special Symbols
     516      349    32.36   ASCII Digits
       1        1     0.00   ASCII Uppercase Letters
    2264     2264     0.00   Latin1 Special Symbols
   27716     3418    87.67   Basic Arabic
     938      500    46.70   Arabic Extended
   42230     9089    78.48   Total

  Errors   Marked   Correct-Generated
     578        0   { }-{}
     522        0   {»}-{ه}
     408        0   {«}-{ه}
     396        0   {» }-{ه}
     331        0   {«}-{ة}
     274        0   {ٔ}-{}
     206        0   {}-{.}
     175        0   {ر}-{ز}
     140        0   {}-{. }
     137        0   {ء}-{ه}
     111        0   {و}-{ف}
     108        0   {» }-{ه.}
     102        0   {»}-{ه.}
      90        0   { }-{.}
      88        0   {د}-{ذ}
      87        0   {}-{ }
      84        0   {» ،}-{ه،.}
      74        0   { «}-{ه}
      69        0   {«}-{م}
      67        0   {و}-{}
      64        0   {ء }-{ه}
      64        0   {و}-{د}
      63        0   {و}-{ز}
      58        0   { «}-{ة}
      57        0   { » }-{،ه}
      50        0   {و«}-{فه}
      50        0   {« }-{}
      47        0   {و}-{ه}
      46        0   {}-{س}
      46        0   {}-{و}
      45        0   {ح}-{ج}
      42        0   {ء}-{ة}
      42        0   {ع}-{غ}
      41        0   {ٕ}-{}
      37        0   {)}-{}
      36        0   { ،}-{،.}
      33        0   {»}-{ه. }
      32        0   {و}-{ ف}
      32        0   {و«}-{فة}
      31        0   {و}-{ذ}
      28        0   {(}-{ )}
      28        0   {ع}-{ق}
      27        0   {ى}-{ي}
      26        0   {و}-{ق}
      26        0   {ٔر}-{ز}
      25        0   {د}-{ن}
      25        0   {ر}-{ن}
      23        0   {ع}-{ف}
      23        0   {ه}-{ف}
      22        0   { »}-{ه}
      22        0   {» }-{}
      21        0   {خ}-{ج}
      21        0   {» ،}-{ه،ه}
      20        0   {ء}-{ه.}
      20        0   {ف}-{ق}
      19        0   {(}-{)}
      19        0   {ب}-{ي}
      19        0   {ه}-{ة}
      19        0   {}-{ل}
      19        0   {}-{ه}
      19        0   {}-{ي}
      19        0   {»}-{م}
      18        0   {ٔو}-{}
      17        0   {م}-{ه}
      17        0   {}-{ٔ}
      16        0   { «}-{.}
      16        0   {،}-{}
      16        0   {ء }-{ة}
      16        0   {ي}-{}
      16        0   {«}-{ه }
      15        0   {(7)}-{)3}
      15        0   {و}-{)}
      15        0   {و}-{. ف}
      15        0   {}-{ب}
      14        0   {) }-{،}
      14        0   {ر }-{ز}
      14        0   {ر}-{و}
      14        0   {}-{ا}
      14        0   {«}-{ ة}
      13        0   {ت}-{ي}
      13        0   {و}-{ي}
      13        0   {}-{ص}
      13        0   {}-{ف}
      13        0   {«}-{}
      12        0   { :}-{:.}
      12        0   {) }-{(}
      12        0   {) }-{؛}
      12        0   {.}-{}
      12        0   {ء ،}-{ه،.}
      12        0   {ء }-{ه.}
      12        0   {ذ}-{ل}
      12        0   {وة}-{ذه}
      12        0   {ٓ}-{}
      11        0   {ا}-{ي}
      11        0   {ه}-{ع}
      11        0   {}-{ق}
      10        0   { }-{،}
      10        0   { }-{و}
