UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   58481   Characters
   10257   Errors
   82.46%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   82.46%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
    3937     3598     2722    10257   Unmarked
    3937     3598     2722    10257   Total

   Count   Missed   %Right
   10237      641    93.74   ASCII Spacing Characters
    1292      546    57.74   ASCII Special Symbols
     179      167     6.70   ASCII Digits
      17       17     0.00   Latin1 Special Symbols
   44907     5624    87.48   Basic Arabic
    1849      540    70.80   Arabic Extended
   58481     7535    87.12   Total

  Errors   Marked   Correct-Generated
     726        0   {}-{ }
     298        0   {}-{س}
     264        0   {ه وا...}-{ة}
     254        0   {ٔ}-{}
     216        0   { الل...}-{}
     181        0   {ى}-{ش}
     174        0   {عليه...}-{}
     143        0   {}-{ع}
     138        0   {صلي ...}-{كككك...}
     130        0   {الله...}-{}
     113        0   {ي}-{ى}
     112        0   { الل...}-{ة}
     112        0   {ه و س...}-{ة}
     107        0   {ق}-{ف}
      96        0   {صلى ...}-{ة}
      95        0   {صلي ...}-{ة}
      94        0   {}-{ح}
      89        0   {الله...}-{كككك...}
      87        0   {صلى}-{،}
      81        0   {}-{م}
      76        0   {}-{ت}
      73        0   {و سل...}-{}
      72        0   {ئ}-{ث}
      68        0   {صل}-{}
      67        0   {ه وا...}-{ةة}
      67        0   {}-{ب}
      66        0   {صلى ...}-{ي}
      64        0   {ث}-{ت}
      64        0   {ى}-{ي}
      58        0   {ي}-{ب}
      58        0   {}-{ي}
      56        0   {}-{ن}
      55        0   {صلى ...}-{}
      54        0   {صلي}-{،}
      54        0   {ل}-{}
      52        0   { الل...}-{كككة}
      51        0   {}-{و}
      49        0   {ه و س...}-{ةة}
      49        0   {ي}-{}
      46        0   {،}-{}
      46        0   {صلي ...}-{كككة}
      44        0   {}-{)}
      43        0   {}-{ٔ}
      42        0   {الله...}-{ي}
      42        0   {خ}-{ح}
      42        0   {ن}-{}
      39        0   {د}-{ذ}
      38        0   {صلي ...}-{كة}
      38        0   {}-{ا}
      36        0   {ه وا...}-{كة}
      33        0   {ن}-{ت}
      33        0   {ه وا...}-{ككة}
      32        0   { الل...}-{ككة}
      32        0   {:}-{ ن}
      32        0   {صل}-{ي}
      31        0   {}-{ش}
      30        0   {وآل...}-{}
      30        0   {}-{خ}
      28        0   {ك}-{لش}
      28        0   {ه و س...}-{كة}
      27        0   {صعلم}-{يييي...}
      26        0   {ع}-{غ}
      26        0   {ه}-{ة}
      24        0   {3).}-{ . }
      24        0   {الله}-{،}
      24        0   {صلى ...}-{ةة}
      24        0   {صلى ...}-{ككة}
      24        0   {صلى ...}-{كككك...}
      24        0   {ع}-{م}
      24        0   {ي}-{ش}
      24        0   {ٓ}-{}
      23        0   {ٕ}-{}
      22        0   {ث}-{ش}
      22        0   {صلى ...}-{ييي}
      22        0   {ه وس...}-{}
      22        0   {ى}-{ش }
      22        0   {ي}-{ض}
      21        0   { الل...}-{كك}
      21        0   {الله...}-{ييي}
      21        0   {الله...}-{يي}
