UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   58481   Characters
    3752   Errors
   93.58%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   93.58%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
    1135      973     1644     3752   Unmarked
    1135      973     1644     3752   Total

   Count   Missed   %Right
   10237      206    97.99   ASCII Spacing Characters
    1292      499    61.38   ASCII Special Symbols
     179       74    58.66   ASCII Digits
      17       17     0.00   Latin1 Special Symbols
   44907     1081    97.59   Basic Arabic
    1849      231    87.51   Arabic Extended
   58481     2108    96.40   Total

  Errors   Marked   Correct-Generated
     486        0   {}-{ }
     132        0   {آله}-{}
     126        0   {)}-{(}
     124        0   {(}-{)}
      91        0   {}-{يه و ...}
      83        0   {ٔ}-{}
      82        0   { }-{}
      77        0   {}-{لي ا...}
      62        0   {}-{ل ال...}
      56        0   {ي}-{}
      55        0   {}-{لى ا...}
      48        0   {و}-{}
      47        0   {ك إ...}-{}
      40        0   {آله...}-{}
      40        0   {}-{ا}
      38        0   {}-{ٔ}
      36        0   {ى}-{ي}
      33        0   {(2)}-{)4(}
      33        0   {ه}-{}
      31        0   {ي}-{ى}
      30        0   {آل}-{}
      28        0   {وآل...}-{}
      27        0   {ل}-{}
      27        0   {}-{،}
      26        0   {}-{. }
      25        0   {}-{ليه ...}
      24        0   { بقي ...}-{}
      24        0   {(}-{ )}
      24        0   {ص}-{لى ا...}
      24        0   {}-{ي و س...}
      22        0   {ص}-{}
      22        0   {[}-{]}
      21        0   {(2)}-{)1(}
      20        0   {]}-{[}
      20        0   {}-{صل ا...}
      20        0   {}-{ى ال...}
      20        0   {}-{يه و...}
      19        0   {ٓ}-{ٔ}
      18        0   {)}-{( }
      18        0   {و }-{}
      18        0   {}-{ي ال...}
      17        0   {}-{ الل...}
      17        0   {}-{ن}
      16        0   {}-{)}
      16        0   {}-{:}
      15        0   {ى}-{}
      15        0   {}-{يه س...}
      14        0   {}-{لله ...}
      14        0   {}-{له و ...}
      13        0   {ج}-{ح}
      13        0   {د}-{ذ}
      13        0   {وقعت...}-{يصسس}
      13        0   {}-{.}
      13        0   {}-{ه}
      13        0   {}-{ي صل...}
      12        0   {صلي }-{}
      12        0   {صلي}-{}
      12        0   {ه }-{}
      12        0   {و س}-{}
      12        0   {}-{(}
      12        0   {}-{للعل...}
      12        0   {}-{ئبت...}
      11        0   {}-{ل}
      10        0   { الع...}-{}
      10        0   {آ}-{}
      10        0   {ا}-{}
      10        0   {ص}-{الله...}
      10        0   {له}-{}
      10        0   {}-{ن }
       9        0   {(6)}-{)1(}
       9        0   {2).}-{(. }
       9        0   {حتى ...}-{}
       9        0   {س}-{}
       9        0   {ٓ}-{}
       9        0   {}-{ي}
       9        0   {}-{ٕ}
       8        0   { سلم(3).}-{وا. }
       8        0   { س}-{}
       8        0   {( }-{)}
       8        0   {صلى }-{}
       8        0   {وسلم}-{}
       8        0   {يه}-{}
       8        0   {ٕ}-{}
       8        0   {}-{ح}
       8        0   {}-{شددة...}
       8        0   {}-{ع}
       8        0   {}-{ليول...}
       7        0   {(}-{}
       7        0   {ا}-{ص}
       7        0   {ب}-{ي}
       7        0   {تحفر...}-{}
       7        0   {ته(6) م}-{}
       7        0   {ص}-{ي ال...}
       7        0   {عد ب...}-{}
       7        0   {}-{ي وه ...}
       6        0   {(1)}-{))(}
       6        0   {(7)}-{)3(}
       6        0   {2)}-{ }
       6        0   {2)}-{}
       6        0   {3)}-{ }
       6        0   {؛}-{،}
       6        0   {اجذه...}-{}
       6        0   {ت}-{}
       6        0   {صلى}-{}
       6        0   {م}-{يه}
       6        0   {ن}-{}
       6        0   {وآل...}-{)))}
       6        0   {وس}-{}
       6        0   {يه و}-{ وآ...}
       6        0   {يه }-{و}
       6        0   {يه}-{ل}
       6        0   {ئا}-{ثا }
       6        0   {ئ}-{ث}
       6        0   {}-{ اا}
       6        0   {}-{ ا}
       6        0   {}-{ سلم...}
       6        0   {}-{ا }
       6        0   {}-{ل صل...}
       6        0   {}-{له و...}
       6        0   {}-{له }
       6        0   {}-{لهو ...}
       6        0   {}-{يه ه ...}
       6        0   {}-{يهه ...}
       6        0   {}-{يهو ...}
       6        0   {«}-{ )}
       5        0   {ت}-{ي}
       5        0   {صعلم...}-{}
       5        0   {فليس...}-{}
       5        0   {قالت...}-{}
       5        0   {ليه ...}-{يوآ...}
       5        0   {ه وس...}-{}
       5        0   {وسلم...}-{}
       5        0   {ي}-{ث}
       5        0   {ٔ}-{ٕ}
       5        0   {ٕ}-{ٔ}
       5        0   {}-{الله...}
       5        0   {}-{بسهم...}
       5        0   {}-{س}
       5        0   {}-{و سل...}
       5        0   {}-{وه س...}
       5        0   {}-{و}
       5        0   {«}-{)}
       5        0   {»}-{(}
       4        0   { (}-{)}
       4        0   { )}-{(}
       4        0   { بيد}-{ر}
       4        0   { سلم}-{هو)}
       4        0   {(2) }-{)4(}
       4        0   {(6) }-{)1(}
       4        0   {(6)}-{ا)2(}
       4        0   {(7)}-{)52(}
       4        0   {(}-{)ٔ}
       4        0   {) }-{(}
       4        0   {)}-{(.}
       4        0   {.}-{}
       4        0   {2)}-{( }
       4        0   {آله}-{..م:}
