UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   59191   Characters
   17257   Errors
   70.85%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   70.85%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
    6012     8842     2403    17257   Unmarked
    6012     8842     2403    17257   Total

   Count   Missed   %Right
   11899     1515    87.27   ASCII Spacing Characters
    1151      836    27.37   ASCII Special Symbols
     266      209    21.43   ASCII Digits
      21       21     0.00   Latin1 Special Symbols
   44079    11343    74.27   Basic Arabic
    1775      930    47.61   Arabic Extended
   59191    14854    74.90   Total

  Errors   Marked   Correct-Generated
     530        0   {، }-{}
     325        0   {م}-{}
     312        0   {في}-{ق}
     291        0   { }-{}
     267        0   {ى}-{}
     231        0   {ي}-{}
     230        0   {}-{ا}
     194        0   {،}-{م}
     194        0   {ٔ}-{}
     165        0   {}-{ل}
     159        0   {ب}-{}
     155        0   {ت}-{}
     147        0   {}-{ن}
     140        0   { ،}-{م}
     134        0   {ك}-{ي}
     114        0   {ن}-{}
     113        0   {}-{ٔ}
     105        0   {و}-{ر}
     102        0   {. }-{}
      96        0   {}-{ }
      95        0   {ي}-{ب}
      92        0   {إ}-{ل}
      91        0   {ٕ}-{}
      82        0   {ك}-{ل}
      81        0   {}-{م}
      80        0   {}-{س}
      78        0   {ا}-{}
      72        0   {: }-{}
      72        0   {فى}-{ق}
      69        0   {ت}-{ي}
      67        0   {}-{ي}
      65        0   {ه}-{}
      64        0   {؛}-{ة}
      64        0   {ٕ}-{ل}
      56        0   {،}-{ه}
      56        0   {}-{ٕ}
      50        0   {لح}-{ف}
      50        0   {ي}-{ى}
      48        0   {م}-{د}
      47        0   {ذ}-{ل}
      46        0   {ل}-{}
      44        0   {ٔ}-{ل}
      43        0   {ع}-{}
      43        0   {}-{ب}
      42        0   {م}-{ي}
      42        0   {}-{،}
      41        0   {س}-{}
      40        0   {)}-{(}
      40        0   {ب}-{ي}
      40        0   {له}-{ف}
      40        0   {ن}-{ت}
      39        0   {ل}-{ا}
      38        0   {ا}-{ل}
      38        0   {خ}-{}
      38        0   {ف}-{ه}
      37        0   {،}-{ة}
      36        0   {في}-{و}
      36        0   {يح}-{خ}
      35        0   {ن}-{ل}
      34        0   {ت}-{ث}
      33        0   {}-{ه}
      32        0   {1)}-{}
      32        0   {د}-{ل}
      32        0   {ر}-{}
      30        0   { ؛}-{ة}
      30        0   {أ}-{ل}
      30        0   {ن}-{ث}
      29        0   {ث}-{}
      28        0   { ك}-{ي}
      27        0   {ه}-{ب}
      26        0   { ،}-{.}
      26        0   {- }-{}
      26        0   {تي}-{ى}
      26        0   {كت}-{يي}
      26        0   {لح}-{ٔف}
      26        0   {ل}-{ٔ}
      26        0   {}-{د}
      25        0   {ء}-{ه}
      25        0   {ت}-{ق}
      25        0   {ع}-{ح}
      24        0   {؛ }-{}
      24        0   {كم}-{ق}
      24        0   {ل}-{أ}
      24        0   {ئ}-{}
      24        0   {}-{ر}
      23        0   { }-{،}
      23        0   {ح}-{}
      23        0   {ف}-{ق}
      23        0   {ي}-{ف}
      22        0   {.}-{}
      22        0   {ى}-{ي}
      22        0   {يه}-{ب}
      22        0   {}-{ع}
      21        0   {(1)}-{44(}
      21        0   {ع}-{م}
      21        0   {م}-{ل}
      20        0   {2)}-{}
      20        0   {إ}-{لل}
      20        0   {ب}-{ل}
      20        0   {ر}-{ن}
      20        0   {في}-{قق}
      20        0   {كث}-{ي}
      20        0   {ك}-{لث}
      20        0   {لم}-{ن}
      20        0   {}-{ق}
      19        0   { }-{.}
      19        0   {ج}-{}
      19        0   {}-{ف}
      18        0   {! }-{}
      18        0   {)}-{}
      18        0   {لخ}-{ٔف}
      18        0   {ن}-{ي}
      18        0   {ير}-{}
      18        0   {}-{.}
      17        0   {(}-{)}
      17        0   {ت}-{ك}
      17        0   {ش}-{غ}
      17        0   {ع}-{ي}
      17        0   {ك}-{}
      16        0   {،}-{}
      16        0   {بي}-{ل}
      16        0   {ك}-{له}
      16        0   {لم}-{ة}
      16        0   {من}-{}
      16        0   {نه}-{تب}
      16        0   {و}-{لر}
      16        0   {يم}-{}
      16        0   {يه}-{}
      16        0   {ئ}-{ث}
      16        0   {ٓب}-{ٔ}
      16        0   {}-{ح}
      15        0   {(1)}-{)4(}
      15        0   {(2)}-{44(}
      15        0   {،}-{و}
      15        0   {ب}-{ن}
      15        0   {ت}-{ا}
      15        0   {س}-{م}
      15        0   {ي}-{ل}
      15        0   {ٔ}-{ا}
      15        0   {}-{ة}
      15        0   {}-{خ}
      14        0   { (}-{)}
      14        0   { )}-{،}
      14        0   { ،}-{ه}
      14        0   {تج}-{خ}
      14        0   {تى}-{ي}
      14        0   {كت}-{ي}
      14        0   {كر}-{ي}
      14        0   {ك}-{لف}
      14        0   {لم}-{و}
      14        0   {ن}-{ى}
      14        0   {ه}-{ع}
      14        0   {يم}-{ج}
      14        0   {ي}-{ع}
      14        0   {ي}-{و}
      14        0   {ٔم}-{}
      14        0   {ٔن}-{ت}
      14        0   {ٔ}-{ٕ}
      14        0   {}-{لس}
      14        0   {}-{ٔن}
      13        0   {ش}-{ذ}
      13        0   {ش}-{ك}
      13        0   {ن}-{ا}
      13        0   {[}-{ل}
      13        0   {}-{ت}
      13        0   {}-{و}
      12        0   { ،}-{و}
      12        0   { يح}-{خ}
      12        0   {(2) }-{34(}
      12        0   {(3)}-{34(}
      12        0   {(5)}-{)و(}
      12        0   {أ}-{}
      12        0   {إ}-{}
      12        0   {ا}-{ق}
      12        0   {ا}-{ٕ}
      12        0   {با}-{أ}
      12        0   {به}-{}
      12        0   {ة}-{ق}
      12        0   {تح}-{خ}
      12        0   {تم}-{ي}
      12        0   {ت}-{خ}
      12        0   {د}-{ذ}
      12        0   {لم}-{ذ}
      12        0   {م}-{و}
      12        0   {يج}-{خ}
      12        0   {يس}-{ب}
      12        0   {ين}-{}
      12        0   {ٕنم}-{ك}
      12        0   {]}-{[}
      12        0   {}-{أ}
      12        0   {}-{سس}
      12        0   {}-{ط}
      11        0   {ء}-{(}
      11        0   {ب}-{ا}
      11        0   {ر}-{ا}
      11        0   {ش}-{ق}
      11        0   {ن}-{ٔ}
      11        0   {ي}-{ر}
      11        0   {ي}-{م}
      11        0   {ٓ}-{ٔ}
      11        0   {}-{ص}
      10        0   { ،}-{4(}
      10        0   { ،}-{ا}
      10        0   { ،}-{ة}
      10        0   { }-{ا}
      10        0   {(1}-{}
      10        0   {(}-{}
      10        0   {) }-{(}
      10        0   {بم}-{ع}
      10        0   {به}-{م}
      10        0   {بو}-{ر}
      10        0   {تم}-{ك}
      10        0   {تم}-{}
      10        0   {ته}-{شب}
      10        0   {جم}-{ع}
      10        0   {ج}-{ح}
      10        0   {سم}-{مي}
      10        0   {غ}-{ف}
      10        0   {ك}-{مي}
      10        0   {لخ}-{ف}
      10        0   {م }-{ي}
      10        0   {م }-{}
      10        0   {مج}-{ع}
      10        0   {م}-{ا}
      10        0   {نه}-{}
      10        0   {ني}-{ى}
      10        0   {ن}-{ف}
      10        0   {ه}-{م}
      10        0   {يم}-{ك}
       9        0   { ( }-{]}
       9        0   {( أش...}-{)لكي}
       9        0   {(2)}-{)4(}
       9        0   {ب}-{ف}
       9        0   {ب}-{ٔ}
       9        0   {ث}-{ق}
       9        0   {ر}-{ز}
       9        0   {فى }-{ق}
       9        0   {ف}-{ل}
       9        0   {ف}-{م}
       9        0   {ق}-{}
       9        0   {ك}-{لده}
       9        0   {لحس}-{ف}
       9        0   {لخب}-{ٔف}
       9        0   {لخ}-{ٔنف}
       9        0   {محب}-{ي}
       9        0   {ه}-{و}
       9        0   {و}-{ا}
       9        0   {و}-{}
       9        0   {يئ}-{}
       9        0   {ي}-{ت}
       9        0   {ٔبي}-{ل}
       9        0   {}-{(}
       9        0   {}-{4}
       8        0   { ،}-{(}
       8        0   { ،}-{ي}
       8        0   { }-{44}
       8        0   {! ! }-{}
       8        0   {! }-{ا}
       8        0   {( }-{ا}
