UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   66341   Characters
   14516   Errors
   78.12%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   78.12%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
    4847     6420     3249    14516   Unmarked
    4847     6420     3249    14516   Total

   Count   Missed   %Right
   13616     1101    91.91   ASCII Spacing Characters
     578      374    35.29   ASCII Special Symbols
       9        9     0.00   ASCII Digits
   50056     8905    82.21   Basic Arabic
    2082      878    57.83   Arabic Extended
   66341    11267    83.02   Total

  Errors   Marked   Correct-Generated
     686        0   {، }-{}
     493        0   {}-{ }
     380        0   {في}-{ق}
     315        0   {}-{ا}
     284        0   {ى}-{}
     283        0   { }-{}
     279        0   {}-{ٔ}
     275        0   {ي}-{}
     258        0   {،}-{م}
     190        0   {ن}-{}
     188        0   {}-{ل}
     186        0   {ٔ}-{}
     172        0   {ب}-{}
     168        0   {: }-{}
     165        0   {ٕ}-{}
     160        0   {}-{ن}
     145        0   {ت}-{}
     137        0   {م}-{}
     121        0   {و}-{ر}
     121        0   {}-{ي}
     120        0   {ك}-{ل}
     111        0   {}-{.}
     110        0   {له}-{ف}
     106        0   {،}-{ه}
     100        0   {ي}-{ب}
      94        0   {ك}-{ي}
      84        0   {}-{س}
      84        0   {}-{م}
      83        0   {.}-{}
      83        0   {،}-{ة}
      72        0   {ت}-{ث}
      66        0   {}-{ب}
      66        0   {}-{ٕ}
      58        0   {لم}-{ة}
      58        0   {ن}-{ل}
      58        0   {ٔ}-{ا}
      56        0   {ت}-{ي}
      56        0   {ٔي}-{}
      53        0   {}-{،}
      52        0   {إ}-{ل}
      49        0   {ب}-{ل}
      49        0   {ب}-{ي}
      46        0   {ى}-{ي}
      44        0   { }-{.}
      44        0   {ذ}-{ل}
      42        0   {س}-{}
      41        0   {}-{ه}
      40        0   {! }-{}
      40        0   {. }-{}
      40        0   {ٓ}-{ٔ}
      39        0   {ا}-{}
      38        0   { ،}-{.}
      38        0   {ثم}-{ك}
      38        0   {ش}-{ث}
      38        0   {م}-{د}
      36        0   {ه}-{}
      36        0   {ئ}-{}
      36        0   {}-{، }
      33        0   {ب}-{ع}
      32        0   { ،}-{ا}
      32        0   {في}-{قق}
      31        0   {ا}-{!}
      31        0   {ث}-{}
      31        0   {ٔ}-{ل}
      31        0   {}-{ت}
      30        0   {؛}-{ة}
      30        0   {ت}-{ق}
      30        0   {ل}-{}
      30        0   {ٕ}-{ل}
      29        0   {،}-{}
      29        0   {ف}-{ه}
      29        0   {ٔ}-{ٕ}
      28        0   {يا}-{أ}
      28        0   {ين}-{}
      26        0   {ك}-{مي}
      26        0   {ك}-{}
      26        0   {ن}-{ت}
      26        0   {}-{. }
      24        0   { ،}-{م}
      24        0   {تى}-{ي}
      24        0   {ن}-{ق}
      24        0   {}-{ف}
      23        0   {د}-{ل}
      23        0   {م}-{ء}
      23        0   {}-{ر}
      23        0   {}-{و}
      22        0   { ،}-{.م}
      22        0   {لح}-{ف}
      21        0   {م}-{ل}
      21        0   {م}-{ي}
      21        0   {ي}-{ك}
      20        0   {،}-{م }
      20        0   {أ}-{ل}
      20        0   {بر}-{ر }
      20        0   {تح}-{خ}
      20        0   {ثم}-{خ}
      20        0   {د}-{ه}
      20        0   {س}-{م}
      20        0   {ش}-{ف}
      20        0   {لج}-{بف}
      20        0   {نا}-{أ}
      20        0   {}-{ح}
      19        0   {ه}-{ب}
      19        0   {}-{ث}
      19        0   {}-{ع}
      18        0   {:}-{)}
      18        0   {نم}-{ك}
      18        0   {}-{د}
      17        0   {ع}-{}
      17        0   {و}-{}
      16        0   {،}-{ة }
      16        0   {،}-{ي}
      16        0   {؛ }-{}
      16        0   {بن}-{م}
      16        0   {ثم}-{تخ}
      16        0   {ح}-{}
      16        0   {سى}-{مي}
      16        0   {ك}-{لا}
      16        0   {ل}-{ٔ}
      16        0   {ني}-{ق}
      16        0   {ين}-{ف}
      15        0   {ثم}-{تخج}
      15        0   {ع}-{ي}
      15        0   {ف}-{ع}
      15        0   {لج}-{ٔبف}
      15        0   {ئي}-{}
      14        0   {!}-{ا}
      14        0   {ج}-{}
      14        0   {ر}-{}
      14        0   {س}-{ص}
      14        0   {ف}-{هه}
      14        0   {كم}-{ق}
      14        0   {ني}-{ل}
      14        0   {ئ}-{ا}
      14        0   {}-{أ}
      13        0   {خ}-{ح}
      13        0   {ع}-{ه}
      12        0   {، ثم}-{تج}
      12        0   {، و}-{وس}
      12        0   {با}-{أ}
      12        0   {بح}-{خ}
      12        0   {ب}-{ك}
      12        0   {تو}-{ر}
      12        0   {ثم }-{}
      12        0   {ثم}-{تج}
      12        0   {ثم}-{تي}
      12        0   {ذ}-{د}
      12        0   {ع}-{م}
      12        0   {ك}-{لل}
      12        0   {مج}-{ع}
      12        0   {ن}-{ي}
      12        0   {ؤ}-{ا}
      12        0   {ين}-{ب}
      12        0   {ي}-{ج}
      12        0   {ي}-{ه}
      12        0   {ٓب}-{ٔ}
      12        0   {}-{ق}
