UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   59191   Characters
   16706   Errors
   71.78%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   71.78%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
    5298     8750     2658    16706   Unmarked
    5298     8750     2658    16706   Total

   Count   Missed   %Right
   11899     1474    87.61   ASCII Spacing Characters
    1151      791    31.28   ASCII Special Symbols
     266      214    19.55   ASCII Digits
      21       21     0.00   Latin1 Special Symbols
   44079    10948    75.16   Basic Arabic
    1775      600    66.20   Arabic Extended
   59191    14048    76.27   Total

  Errors   Marked   Correct-Generated
     401        0   { }-{}
     358        0   {في}-{ق}
     329        0   {م}-{}
     233        0   {ى}-{}
     190        0   {ب}-{}
     189        0   {}-{ٔ}
     182        0   {ي}-{}
     174        0   {}-{ل}
     140        0   {}-{م}
     125        0   {ن}-{}
     120        0   {، }-{}
     120        0   {ت}-{}
     120        0   {}-{ }
     120        0   {}-{ا}
     117        0   {}-{ه}
     113        0   {ٔ}-{}
     101        0   {}-{س}
      91        0   {}-{ن}
      75        0   {}-{،}
      74        0   {ل}-{ا}
      72        0   {فى}-{ق}
      72        0   {ك}-{ي}
      70        0   {ٕ}-{}
      68        0   { ،}-{،م}
      68        0   {ل}-{}
      65        0   {،}-{م}
      65        0   {ن}-{ت}
      65        0   {ي}-{ب}
      64        0   {ا}-{}
      64        0   {}-{ي}
      62        0   {ه}-{}
      60        0   {: }-{}
      60        0   {با}-{أ}
      58        0   { ،}-{ه}
      58        0   {ت}-{ي}
      57        0   {،}-{ه}
      53        0   {ب}-{ي}
      52        0   { ،}-{م}
      51        0   {}-{ر}
      50        0   {،}-{ة}
      50        0   {ل}-{أ}
      48        0   { ،}-{،ه}
      46        0   {لح}-{خف}
      46        0   {لم}-{ذ}
      45        0   {ي}-{ى}
      44        0   {س}-{}
      43        0   {)}-{(}
      43        0   {ع}-{م}
      42        0   {. }-{}
      42        0   {؛}-{ة}
      41        0   {ث}-{}
      41        0   {ف}-{ق}
      39        0   {ر}-{}
      39        0   {}-{ة}
      37        0   {و}-{ر}
      36        0   {لم}-{ة}
      36        0   {}-{ب}
      33        0   {(1)}-{))(}
      33        0   {ع}-{}
      32        0   {1)}-{}
      32        0   {}-{ٕ}
      31        0   { }-{.}
      31        0   { }-{،}
      30        0   {تى}-{ي}
      30        0   {ت}-{ث}
      30        0   {ك}-{سي}
      30        0   {لح}-{ف}
      30        0   {}-{ت}
      29        0   {ش}-{ك}
      29        0   {ك}-{ث}
      28        0   {يح}-{خ}
      28        0   {ئ}-{}
      28        0   {ي}-{ىى}
      27        0   {ل}-{أس}
      26        0   {(}-{)}
      26        0   {لم}-{ا}
      25        0   {ت}-{ق}
      25        0   {ذ}-{د}
      25        0   {م}-{ي}
      24        0   {- }-{}
      24        0   {،}-{و}
      24        0   {ب}-{ل}
      24        0   {}-{ث}
      24        0   {}-{و}
      23        0   {ي}-{ل}
      23        0   {}-{ف}
      23        0   {}-{ى}
      22        0   { ،}-{،ة}
      22        0   { ،}-{ة}
      22        0   {2)}-{}
      22        0   {إ}-{ل}
      22        0   {ف}-{ض}
      22        0   {ير}-{ع}
      22        0   {ي}-{ع}
      22        0   {}-{ع}
      22        0   {}-{ق}
      21        0   {ه}-{ب}
      21        0   {}-{د}
      21        0   {}-{ص}
      20        0   { ،}-{.}
      20        0   {( }-{}
      20        0   {3)}-{}
      20        0   {مج}-{ع}
      20        0   {ير}-{}
      20        0   {ين}-{}
      20        0   {ٕ}-{ٔ}
      19        0   {ه}-{م}
      19        0   {ى}-{ي}
      18        0   {بم}-{ع}
      18        0   {ع}-{ه}
      18        0   {له}-{ف}
      18        0   {ل}-{ٔ}
      18        0   {ن}-{ث}
      18        0   {و}-{}
      18        0   {ي}-{ر}
      18        0   {ي}-{و}
      18        0   {[}-{ل}
      17        0   {ب}-{ا}
      17        0   {ب}-{ٔ}
      17        0   {خ}-{ف}
      16        0   {ء}-{ة}
      16        0   {لم}-{ش}
      16        0   {لم}-{غ}
      16        0   {لن}-{أ}
      16        0   {مت}-{}
      16        0   {مع}-{}
      16        0   {م}-{ر}
      16        0   {ن}-{ي}
      16        0   {ى}-{ه}
      16        0   {يج}-{خ}
      16        0   {يج}-{ع}
      16        0   {ئ}-{ث}
      16        0   {}-{(}
      15        0   {(1)}-{)4(}
      15        0   {(2)}-{)3(}
      15        0   {(2)}-{)4(}
      15        0   {(2)}-{)ا(}
      15        0   {)}-{}
      15        0   {ا}-{ل}
      15        0   {ت}-{ن}
      15        0   {م}-{ل}
      15        0   {ن}-{ل}
      15        0   {ن}-{ٔ}
      14        0   { ]}-{ا}
      14        0   { }-{ا}
      14        0   {!}-{ا}
      14        0   {؛ }-{}
      14        0   {ء}-{ه}
      14        0   {تي}-{ى}
      14        0   {د}-{ل}
      14        0   {د}-{}
      14        0   {لج}-{جض}
      14        0   {لخ}-{نف}
      14        0   {لم}-{}
      14        0   {م }-{}
      14        0   {من}-{}
      14        0   {يم}-{}
      14        0   {}-{أ}
      14        0   {}-{خ}
