UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   66341   Characters
   13485   Errors
   79.67%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   79.67%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
    3825     5712     3948    13485   Unmarked
    3825     5712     3948    13485   Total

   Count   Missed   %Right
   13616      925    93.21   ASCII Spacing Characters
     578      220    61.94   ASCII Special Symbols
       9        9     0.00   ASCII Digits
   50056     7808    84.40   Basic Arabic
    2082      575    72.38   Arabic Extended
   66341     9537    85.62   Total

  Errors   Marked   Correct-Generated
     766        0   {}-{ }
     478        0   { }-{}
     396        0   {في}-{ق}
     283        0   {}-{ٔ}
     233        0   {ي}-{}
     197        0   {ى}-{}
     172        0   {}-{م}
     152        0   {}-{ا}
     151        0   {ن}-{}
     149        0   {ب}-{}
     148        0   {}-{ي}
     141        0   {}-{ل}
     136        0   {}-{ن}
     131        0   {}-{ه}
     126        0   {ت}-{}
     119        0   {}-{،}
     112        0   {و}-{ر}
     104        0   {ٔ}-{}
     100        0   { }-{.}
      86        0   {م}-{}
      84        0   {ٕلى}-{}
      81        0   {}-{ب}
      76        0   {لى}-{}
      76        0   {ٔي}-{}
      74        0   {ٕ}-{}
      72        0   {ا}-{}
      69        0   {}-{س}
      68        0   {تى}-{ي}
      67        0   {س}-{}
      59        0   {ت}-{ي}
      56        0   {ى}-{ي}
      54        0   {لم}-{ة}
      54        0   {له}-{ض}
      52        0   {ب}-{ي}
      52        0   {ثم}-{ع}
      52        0   {ش}-{ث}
      52        0   {}-{أ}
      52        0   {}-{ة}
      52        0   {}-{ٕ}
      51        0   {ب}-{ع}
      51        0   {}-{و}
      50        0   {: }-{}
      50        0   {،}-{ه}
      50        0   {با}-{أ}
      50        0   {لم}-{}
      50        0   {}-{، }
      50        0   {}-{ر}
      46        0   {س}-{ص}
      46        0   {ل}-{}
      46        0   {يا}-{أ}
      45        0   {ٓ}-{ٔ}
      43        0   {}-{.}
      42        0   {ثم}-{ك}
      42        0   {لم}-{غ}
      42        0   {}-{ع}
      41        0   {ي}-{ب}
      40        0   {ئ}-{}
      40        0   {}-{ ،}
      40        0   {}-{ف}
      39        0   {ث}-{}
      38        0   {.}-{}
      38        0   {ت}-{ق}
      36        0   {ي}-{ع}
      35        0   {ت}-{ث}
      34        0   {ٔ}-{ٕ}
      34        0   {}-{ت}
      33        0   {ب}-{ر}
      32        0   {!}-{ا}
      32        0   {ن}-{ل}
      32        0   {ه}-{}
      31        0   {ع}-{}
      31        0   {}-{ث}
      30        0   {ي}-{ج}
      30        0   {}-{ ب}
      29        0   {و}-{}
      27        0   {ف}-{ض}
      26        0   {،}-{ة}
      26        0   {}-{د}
      24        0   {،}-{م}
