UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   58481   Characters
   10068   Errors
   82.78%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   82.78%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
    3686     3631     2751    10068   Unmarked
    3686     3631     2751    10068   Total

   Count   Missed   %Right
   10237      431    95.79   ASCII Spacing Characters
    1292      678    47.52   ASCII Special Symbols
     179      140    21.79   ASCII Digits
      17       17     0.00   Latin1 Special Symbols
   44907     5389    88.00   Basic Arabic
    1849      662    64.20   Arabic Extended
   58481     7317    87.49   Total

  Errors   Marked   Correct-Generated
    1552        0   {}-{ }
     856        0   {عليه...}-{}
     337        0   {ٔ}-{}
     240        0   {صلي}-{،}
     164        0   {لل}-{يف}
     160        0   {}-{ٔ}
     156        0   {الله}-{ككك}
     123        0   {،}-{}
     120        0   {صلى}-{،}
     112        0   {الله}-{كككك}
     111        0   {لله،...}-{}
     104        0   {عليه}-{،}
      82        0   {.}-{ ،}
      80        0   {الله...}-{ككك}
      77        0   {و سل...}-{}
      75        0   {الله...}-{}
      66        0   {عليه...}-{، كك...}
      64        0   {ئ}-{ث}
      60        0   {}-{ل}
      57        0   {ث}-{ت}
      56        0   {وسلم}-{}
      53        0   {ل}-{}
      53        0   {}-{ن}
      52        0   {صعلم}-{ككك }
      52        0   {وآل...}-{}
      51        0   {له ع...}-{ظكك}
      51        0   {ن}-{ب}
      48        0   {لله،...}-{يٕف}
      45        0   {الله...}-{كككك...}
      44        0   {د}-{ذ}
      44        0   {ل}-{ي}
      43        0   {}-{س}
      42        0   {د}-{ل}
      42        0   {سلم}-{}
      40        0   {له ع...}-{ككك}
      36        0   {الله}-{،}
      35        0   {ت}-{ن}
      35        0   {وآل...}-{ككك}
      32        0   {صلى }-{}
      32        0   {عليه}-{:}
      31        0   {(}-{)}
      30        0   {)}-{« }
      30        0   {لل}-{ي}
      30        0   {له،}-{}
      29        0   {ٕ}-{}
      28        0   {ب}-{}
      28        0   {لل}-{يظ}
      28        0   {}-{، }
      27        0   {.}-{ ، }
      26        0   {)}-{( }
      26        0   {ز}-{ر}
      26        0   {صعلم}-{كككك...}
      26        0   {له ع...}-{كككك}
      26        0   {وآل...}-{»}
      25        0   {}-{ى}
      24        0   { ا}-{}
      24        0   {:}-{ ،}
      24        0   {ب}-{ي}
      24        0   {صلى ...}-{ظكك}
      24        0   {صلى ...}-{ككك}
      24        0   {ه}-{ء}
      24        0   {ٕ}-{ٔ}
      23        0   {ذ}-{د}
      22        0   {!}-{ ا}
      22        0   {ٔة}-{ء}
      22        0   {}-{ي}
      21        0   {}-{و}
      20        0   { الل}-{ف}
      20        0   { الل}-{ٕف}
      20        0   {الله...}-{كثك}
      20        0   {الله...}-{كككك}
      20        0   {الله}-{كثك}
      20        0   {الله}-{كك}
      20        0   {ا}-{}
      20        0   {لل}-{ف}
      20        0   {وآل...}-{كككك}
      20        0   {ي}-{ى}
      20        0   {ٓ}-{}
      20        0   {ٔن}-{ب}
      20        0   {}-{ب}
      19        0   {صلي ...}-{ككة}
      19        0   {صلي ...}-{ككك}
      19        0   {وقعت...}-{}
      18        0   {ث}-{ش}
      18        0   {ق}-{ف}
      18        0   {لل}-{ئف}
      18        0   {لل}-{يٕف}
      18        0   {له ع...}-{كك}
      18        0   {ٓ}-{ٔ}
      18        0   {}-{)1}
      18        0   {}-{ن }
      17        0   {ر}-{و}
      17        0   {ي ال...}-{ككك}
      16        0   {،صلي}-{}
      16        0   {صعلم}-{ككك}
      16        0   {صلعم}-{ككك }
      16        0   {ي}-{ب}
      16        0   {}-{ا}
      15        0   {(}-{»}
      15        0   {الله...}-{ظك}
      15        0   {الله...}-{ككة}
      15        0   {ل}-{ف}
      15        0   {ن}-{}
      15        0   {و سل...}-{ككك}
      14        0   {؟}-{}
      14        0   {ب}-{ن}
      14        0   {صلي ...}-{}
      14        0   {له}-{ه }
      14        0   {ه}-{ء }
