UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   59191   Characters
   14872   Errors
   74.87%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   74.87%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
    4338     8367     2167    14872   Unmarked
    4338     8367     2167    14872   Total

   Count   Missed   %Right
   11899      687    94.23   ASCII Spacing Characters
    1151      772    32.93   ASCII Special Symbols
     266      127    52.26   ASCII Digits
      21       21     0.00   Latin1 Special Symbols
   44079    10293    76.65   Basic Arabic
    1775      805    54.65   Arabic Extended
   59191    12705    78.54   Total

  Errors   Marked   Correct-Generated
     370        0   {م}-{}
     254        0   {ى}-{}
     236        0   {في}-{و}
     181        0   {ٔ}-{}
     180        0   {}-{ }
     162        0   {، }-{}
     148        0   {إ}-{ل}
     144        0   {}-{ٔ}
     132        0   { }-{}
     131        0   {ي}-{ب}
     114        0   {)}-{(}
     112        0   {في}-{ق}
     105        0   {ب}-{ي}
      99        0   {ي}-{}
      99        0   {}-{ا}
      99        0   {}-{و}
      93        0   {ت}-{}
      78        0   {}-{ن}
      77        0   {ب}-{}
      75        0   {}-{م}
      73        0   { وعل...}-{}
      73        0   {}-{ل}
      72        0   {}-{ر}
      66        0   {}-{س}
      64        0   {،}-{ه}
      60        0   {ن}-{}
      58        0   {(}-{)}
      58        0   {فى}-{و}
      58        0   {}-{ي}
      57        0   {ن}-{ي}
      56        0   {ل}-{أ}
      55        0   {،}-{م}
      54        0   {تى}-{ي}
      54        0   {ن}-{ت}
      53        0   {ب}-{ن}
      52        0   {ه}-{}
      48        0   {ٕ}-{}
      46        0   {و}-{ر}
      43        0   {}-{ب}
      42        0   {ل}-{}
      42        0   {ه}-{ب}
      40        0   {له}-{ف}
      38        0   {: }-{}
      38        0   {}-{ٕ}
      35        0   {،}-{«}
      35        0   {ك}-{ي}
      35        0   {ن}-{ث}
      35        0   {ي}-{ى}
      34        0   { ،}-{م}
      34        0   {. }-{}
      34        0   {ت}-{ي}
      34        0   {لح}-{د}
      33        0   {}-{ت}
      32        0   {1)}-{}
      32        0   {ا}-{ل}
      32        0   {ة}-{ق}
      30        0   {ذ}-{ل}
      30        0   {لم}-{}
      30        0   {ل}-{ا}
      30        0   {ٕ}-{ٔ}
      29        0   {ر}-{}
      29        0   {ٔ}-{ٕ}
      28        0   {!}-{ا}
      28        0   {بم}-{ع}
      28        0   {س}-{}
      28        0   {ى}-{ي}
      27        0   {ت}-{ن}
      27        0   {خ}-{}
      25        0   {م}-{ي}
      24        0   {ا}-{}
      24        0   {ك}-{ل}
      24        0   {لح}-{خ}
      24        0   {لم}-{ف}
      24        0   {ن}-{د}
      24        0   {ي}-{ف}
      23        0   {ت}-{ث}
      23        0   {ذ}-{د}
      23        0   {ف}-{ق}
      22        0   {،}-{»}
      22        0   {ف}-{ه}
      22        0   {لم}-{ث}
      22        0   {م}-{د}
      22        0   {ن}-{ل}
      22        0   {يح}-{خ}
      21        0   {؛}-{،}
      21        0   {ء}-{ه}
      21        0   {ٕ}-{ل}
      21        0   {}-{ح}
      20        0   {! }-{}
      20        0   {(}-{ )}
      20        0   {فى}-{ق}
      20        0   {في}-{و»}
      20        0   {لم}-{ذ}
      20        0   {يج}-{ع}
      20        0   {ئ}-{ث}
      19        0   {ب}-{ف}
      19        0   {ت}-{ق}
      19        0   {ت}-{ك}
      19        0   {د}-{ل}
      18        0   {أ}-{ل}
      18        0   {تم}-{ع}
      18        0   {ع}-{م}
      18        0   {لج}-{خ}
      18        0   {لى}-{ز}
      18        0   {ه}-{ع}
      18        0   {و}-{}
      17        0   {،}-{ة}
      17        0   {؛}-{ة}
      17        0   {ف}-{ض}
      16        0   { (}-{)}
      16        0   { ك}-{ي}
      16        0   {إ}-{}
      16        0   {تج}-{ع}
      16        0   {ثم}-{ع}
      16        0   {ع}-{}
      16        0   {لك}-{قق}
      16        0   {لم}-{د}
      16        0   {لم}-{ش}
      16        0   {ل}-{اس}
      16        0   {ل}-{إ}
      16        0   {ه}-{ء}
      16        0   {ي}-{و}
      16        0   {}-{ٔن}
      15        0   {ح}-{}
      15        0   {ع}-{ح}
      15        0   {لخ}-{ٔنف}
      15        0   {ٓ}-{ٔ}
      15        0   {}-{د}
      15        0   {}-{ه}
      14        0   {)}-{}
      14        0   {ج}-{ح}
      14        0   {كت}-{يي}
      14        0   {لح}-{ض}
      14        0   {لح}-{ف}
      14        0   {لخ}-{ف}
      14        0   {لم}-{ا}
      14        0   {نه}-{مب}
      14        0   {ني}-{ف}
      14        0   {ن}-{ف}
      14        0   {ه}-{ي}
      14        0   {يم}-{ج}
      14        0   {يه}-{بب}
      14        0   {ئ}-{}
      14        0   {[ }-{]}
      14        0   {}-{)}
      13        0   {(}-{}
      13        0   {ث}-{}
      12        0   {( }-{]}
      12        0   {.}-{،}
      12        0   {2)}-{}
      12        0   {،}-{.}
      12        0   {إ}-{لل}
      12        0   {تح}-{خ}
      12        0   {جم}-{ع}
      12        0   {د}-{ذ}
      12        0   {س}-{م}
      12        0   {ش}-{غ}
      12        0   {فم}-{و}
      12        0   {قى}-{و}
      12        0   {ك}-{قت}
      12        0   {ك}-{لث}
      12        0   {لح}-{ش}
      12        0   {لخ}-{د}
      12        0   {لل}-{ق}
      12        0   {له}-{غ}
      12        0   {ل}-{أس}
      12        0   {مسجد...}-{}
      12        0   {ي}-{ر}
      12        0   {ٕنم}-{ٔع}
      12        0   {}-{ى}
      11        0   {ب}-{ا}
      11        0   {ب}-{ل}
      11        0   {ب}-{م}
      11        0   {ب}-{و}
      11        0   {ت}-{ب}
      11        0   {ت}-{ش}
      11        0   {خ}-{ح}
      11        0   {}-{خ}
      11        0   {}-{ع}
      11        0   {}-{ق}
      10        0   {)}-{:}
      10        0   {- }-{}
      10        0   {4)}-{}
      10        0   {،}-{و}
      10        0   {؟ }-{}
      10        0   {ب}-{س}
      10        0   {ته}-{مب}
      10        0   {تي}-{ى}
      10        0   {ذي}-{لى}
      10        0   {ز}-{ر}
      10        0   {س}-{ب}
      10        0   {عم}-{ض}
      10        0   {عم}-{ي}
      10        0   {في}-{قق}
      10        0   {ف}-{ع}
      10        0   {كم}-{ق}
      10        0   {ك}-{ثث}
      10        0   {لك}-{قث}
      10        0   {لك}-{قد}
      10        0   {نه}-{ب}
      10        0   {نه}-{تب}
      10        0   {نى}-{ي}
      10        0   {ن}-{ى}
      10        0   {و}-{لر}
      10        0   {يم}-{ع}
      10        0   {ي}-{تى}
      10        0   {ٔم}-{}
      10        0   {[}-{ل}
      10        0   {]}-{[}
      10        0   {}-{أ}
      10        0   {}-{ط}
       9        0   { يج}-{ع}
       9        0   {د}-{ف}
       9        0   {ر}-{و}
       9        0   {ش}-{ث}
       9        0   {ش}-{ك}
       9        0   {ع}-{ي}
       9        0   {غ}-{ع}
       9        0   {لن}-{أت}
       9        0   {لهم}-{ف}
       9        0   {ن}-{ا}
       9        0   {ئر}-{ض}
       9        0   {ي}-{ا}
       9        0   {ٓبن}-{ٔم}
       9        0   {ٔ}-{ا}
