UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   50325   Characters
    2178   Errors
   95.67%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   95.67%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
     156      368     1654     2178   Unmarked
     156      368     1654     2178   Total

   Count   Missed   %Right
    8188       45    99.45   ASCII Spacing Characters
    1033      190    81.61   ASCII Special Symbols
     203       26    87.19   ASCII Digits
      40       40     0.00   Latin1 Spacing Characters
       7        7     0.00   Latin1 Special Symbols
   39179      124    99.68   Basic Arabic
    1675       92    94.51   Arabic Extended
   50325      524    98.96   Total

  Errors   Marked   Correct-Generated
    1338        0   {}-{. }
      76        0   { }-{. }
      63        0   {}-{.. }
      52        0   {ٔ}-{}
      38        0   {}-{..}
      34        0   {}-{ }
      33        0   {(}-{)}
      31        0   {[}-{]}
      30        0   {)}-{(}
      22        0   {]}-{[}
      15        0   { }-{}
      14        0   {ٕ}-{}
      12        0   {) }-{(}
       9        0   {[}-{. ]}
       9        0   {}-{. م}
       8        0   {}-{.}
       7        0   {ث}-{ت}
       7        0   {}-{م}
       6        0   {(}-{}
       6        0   {)}-{(. }
       6        0   {2)}-{}
       6        0   {ـ}-{سس}
       6        0   {ٓ}-{}
       6        0   {] }-{[}
       6        0   {}-{ٔ}
       5        0   {ء}-{ه}
       5        0   {ي}-{ب}
       5        0   {}-{ف}
       4        0   { }-{1}
       4        0   {(1) }-{ا}
       4        0   {(2) }-{)ا(}
       4        0   {(2) }-{و1(}
       4        0   {(3) }-{وا(}
       4        0   {1)}-{}
       4        0   {ة}-{ه}
       4        0   {ه}-{ة}
       4        0   {ئن}-{ثن. }
       4        0   {ئ}-{ت}
       4        0   {ي}-{ت}
       4        0   {ٔ]}-{[}
       4        0   {[}-{.. ]}
       4        0   {]}-{[[}
       4        0   {}-{ي}
       3        0   {(1)}-{1 (}
       3        0   {(1)}-{ا}
       3        0   {(2)}-{)1(}
       3        0   {(2)}-{ا}
       3        0   {(2)}-{و1ا}
       3        0   {(}-{. )}
       3        0   {-}-{ر. }
       3        0   {1) }-{.}
       3        0   {1) }-{}
       3        0   {1)،}-{،. }
       3        0   {2) }-{}
       3        0   {4}-{. م}
       3        0   {ح}-{. خ}
       3        0   {ح}-{ج. }
       3        0   {ح}-{خ}
       3        0   {د}-{ر..}
       3        0   {ذ}-{د}
       3        0   {غ }-{عٔا}
       3        0   {غ}-{. ف}
       3        0   {غ}-{ع..}
       3        0   {غ}-{ع}
       3        0   {ـ}-{س}
       3        0   {ك}-{ت}
       3        0   {نة}-{ة. }
       3        0   {ي}-{ث}
       3        0   {ي}-{ر. }
       3        0   {ٔ}-{ء}
       3        0   {]}-{[. }
       3        0   {}-{)1(}
       3        0   {}-{. ت}
       3        0   {}-{1}
       3        0   {}-{:. }
       3        0   {}-{ء. }
       3        0   {}-{ا:.}
       3        0   {}-{ا}
       3        0   {}-{ر. }
       3        0   {}-{س}
       3        0   {}-{ل}
       3        0   {}-{[. }
       2        0   { (}-{)}
       2        0   { }-{.}
       2        0   { }-{ر1}
       2        0   { }-{را}
       2        0   { }-{و}
       2        0   {!}-{}
       2        0   {)}-{ (}
       2        0   {3)}-{}
       2        0   {3}-{. }
       2        0   {4)}-{}
       2        0   {ء}-{ة}
       2        0   {ء}-{ؤ}
       2        0   {بح}-{ع}
       2        0   {تن}-{نى}
       2        0   {ت}-{ن}
       2        0   {د}-{ذ}
       2        0   {ره}-{ ع}
       2        0   {ع}-{غ}
       2        0   {ع}-{}
       2        0   {قو}-{نر}
       2        0   {كن}-{شث}
       2        0   {ك}-{لق}
       2        0   {ن)}-{(}
       2        0   {و}-{ر}
       2        0   {ئ}-{ثا}
       2        0   {ئ}-{ث}
       2        0   {ٓ}-{ٔ}
