UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   31606   Characters
   10133   Errors
   67.94%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   67.94%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
    4054     5390      689    10133   Unmarked
    4054     5390      689    10133   Total

   Count   Missed   %Right
    6411     1780    72.24   ASCII Spacing Characters
     663      431    34.99   ASCII Special Symbols
     167      132    20.96   ASCII Digits
       4        4     0.00   Latin1 Special Symbols
   23411     6657    71.56   Basic Arabic
     950      440    53.68   Arabic Extended
   31606     9444    70.12   Total

  Errors   Marked   Correct-Generated
     746        0   { }-{}
     183        0   {م}-{}
     123        0   {ى}-{}
     118        0   {ا}-{ل}
     116        0   {ي}-{}
     108        0   {ٔ}-{}
      98        0   {إ}-{ل}
      96        0   {في}-{ق}
      94        0   {ب}-{}
      91        0   {ع}-{}
      84        0   {ن}-{}
      84        0   {ي}-{ب}
      81        0   {ت}-{}
      48        0   {لخ}-{نف}
      47        0   {ل}-{}
      46        0   {ب}-{ي}
      46        0   {}-{ر}
      44        0   {و}-{}
      42        0   {ك}-{ري}
      39        0   {}-{ا}
      38        0   {ن}-{ل}
      38        0   {}-{س}
      36        0   {فى}-{ق}
      36        0   {ه}-{ب}
      36        0   {ه}-{}
      32        0   { ،}-{.}
      32        0   {له}-{ف}
      30        0   { }-{؛}
      30        0   {لح}-{ف}
      29        0   {ء}-{ه}
      28        0   {ك}-{ج}
      28        0   {ٕ}-{}
      28        0   {}-{و}
      27        0   { إ}-{ل}
      27        0   {ت}-{ي}
      27        0   {ع}-{م}
      27        0   {ه}-{ع}
      26        0   { }-{ا}
      26        0   {لح}-{خ}
      26        0   {لم}-{ة}
      25        0   {ب}-{ن}
      25        0   {س}-{}
      25        0   {ك}-{ي}
      24        0   { }-{و}
      24        0   {ا}-{}
      22        0   {ء }-{ه}
      22        0   {ث}-{}
      22        0   {غ}-{ع}
      22        0   {ف}-{}
      21        0   {}-{ل}
      20        0   {، }-{}
      20        0   {ق}-{}
      20        0   {م }-{}
      20        0   {ى }-{}
      19        0   {ل}-{ا}
      19        0   {}-{ن}
      19        0   {}-{ه}
      18        0   {ع}-{ص}
      18        0   {يه}-{ب}
      18        0   {ي}-{ه}
      17        0   {د}-{ه}
      17        0   {ع}-{س}
      17        0   {ف}-{ه}
