UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   31568   Characters
    6707   Errors
   78.75%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   78.75%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
    2347     3181     1179     6707   Unmarked
    2347     3181     1179     6707   Total

   Count   Missed   %Right
    6510     1125    82.72   ASCII Spacing Characters
     264       50    81.06   ASCII Special Symbols
       3        3     0.00   ASCII Digits
   23752     4044    82.97   Basic Arabic
    1039      306    70.55   Arabic Extended
   31568     5528    82.49   Total

  Errors   Marked   Correct-Generated
     648        0   { }-{}
     160        0   { ،}-{.}
     157        0   {}-{.}
     106        0   {في}-{ق}
     106        0   {ي}-{ب}
      99        0   {ٔ}-{}
      98        0   { ،}-{،.}
      98        0   { }-{.}
      88        0   {ي}-{}
      88        0   {}-{. }
      83        0   {}-{ا}
      79        0   {}-{ٔ}
      77        0   {ن}-{}
      73        0   {ب}-{ي}
      71        0   {م}-{}
      71        0   {ن}-{ل}
      66        0   {ب}-{}
      59        0   {ا}-{ل}
      59        0   {ت}-{}
      58        0   {ى}-{}
      52        0   {لح}-{خ}
      50        0   {ع}-{}
      50        0   {لى}-{ف}
      50        0   {ل}-{}
      48        0   {ف}-{}
      46        0   {له}-{ف}
      43        0   {ء}-{ه}
      42        0   {ٔي}-{}
      42        0   {}-{،.}
      41        0   {}-{ }
      40        0   {لى}-{ق}
      40        0   {ن}-{ق}
      34        0   {}-{س}
      32        0   {تى}-{ي}
      30        0   {ثم}-{ع}
      28        0   {ف}-{ل}
      28        0   {}-{،}
      28        0   {}-{ل}
      26        0   {س}-{م}
      26        0   {ئ}-{ل}
      25        0   {}-{م}
      24        0   {ء }-{ه}
      24        0   {ف}-{ي}
      24        0   {}-{ص}
      23        0   {،}-{}
      23        0   {}-{ي}
      22        0   {ث}-{}
      22        0   {ك}-{}
      22        0   {}-{ب}
      21        0   {ت}-{ي}
      21        0   {ث}-{ل}
      21        0   {ن}-{ف}
      21        0   {ن}-{ي}
      20        0   {إ}-{ل}
      19        0   {ٓ}-{ٔ}
      18        0   { }-{ا}
      18        0   {إ}-{}
      18        0   {ن}-{ت}
      18        0   {}-{و}
      17        0   {س}-{}
      17        0   {ش}-{ث}
      17        0   {ش}-{ق}
      17        0   {ٕ}-{}
      17        0   {}-{ك}
      16        0   {، }-{}
      16        0   {ت}-{ث}
      16        0   {ثم}-{لا}
      16        0   {لم}-{ة}
      15        0   {ت}-{ق}
      15        0   {على}-{صق}
      15        0   {على}-{ق}
      15        0   {}-{ف}
      14        0   { ،}-{،ه}
      14        0   {ف}-{ق}
      14        0   {لج}-{بخ}
      14        0   {}-{أ}
      13        0   {}-{ق}
      12        0   { ؛}-{،}
      12        0   {ب}-{ه}
      12        0   {د}-{لأ}
      12        0   {على}-{خق}
      12        0   {لم}-{ط}
      12        0   {مس}-{}
      12        0   {ى}-{ي}
      12        0   {يح}-{ج}
      11        0   {!}-{ا}
      11        0   {ت}-{ك}
      11        0   {}-{ٕ}
      10        0   { :}-{:.}
      10        0   {ثم}-{خ}
      10        0   {خ}-{ع}
      10        0   {خ}-{}
      10        0   {ص}-{م}
      10        0   {نم}-{ع}
      10        0   {ه}-{}
      10        0   {يه}-{بب}
      10        0   {}-{ر}
      10        0   {}-{ه}
       9        0   { }-{،}
       9        0   {إس}-{لم}
       9        0   {ب}-{ل}
       9        0   {ثم}-{لها}
       9        0   {ش}-{غ}
       9        0   {ش}-{م}
       9        0   {ض}-{ف}
       9        0   {على}-{حق}
       9        0   {ق}-{}
       9        0   {لمل}-{طق}
       9        0   {ٔ}-{ٓ}
       9        0   {ٔ}-{ٕ}
       8        0   {! }-{}
       8        0   {: }-{}
       8        0   {بخ}-{جع}
       8        0   {بن}-{ف}
       8        0   {تم}-{ع}
       8        0   {ثم}-{ ع}
       8        0   {ثم}-{مع}
       8        0   {ذ}-{ل}
       8        0   {ك }-{لة}
       8        0   {ك}-{ط}
       8        0   {ك}-{قق}
       8        0   {لى}-{ف.}
       8        0   {م}-{ه}
       8        0   {نى}-{ي}
       8        0   {ؤ}-{ه}
       8        0   {ٔعلى}-{ق}
       8        0   {}-{د}
       8        0   {}-{كد}
       7        0   {.}-{}
       7        0   {ح}-{}
       7        0   {ذ}-{ق}
       7        0   {ع}-{ج}
       7        0   {ع}-{م}
       7        0   {غ}-{ع}
       7        0   {ه}-{ب}
       7        0   {ى}-{ق}
       7        0   {ي}-{ا}
       7        0   {ي}-{ج}
       7        0   {}-{:}
       7        0   {}-{ع}
       7        0   {}-{ن}
       6        0   { ،}-{...}
       6        0   { ،}-{..}
       6        0   { ،}-{،ه.}
       6        0   { }-{.ه}
       6        0   {!}-{ا.}
       6        0   {ء ،}-{ه.}
       6        0   {ا}-{}
       6        0   {بن}-{،يى}
       6        0   {بن}-{ى}
       6        0   {بن}-{يى}
       6        0   {بن}-{يي}
       6        0   {تح}-{ك}
       6        0   {تعال...}-{}
       6        0   {تى}-{}
       6        0   {ت}-{ل}
       6        0   {ح}-{ع}
       6        0   {د}-{لا}
       6        0   {ذ}-{للف}
       6        0   {ري}-{س}
       6        0   {ش}-{ف}
       6        0   {عق}-{ط}
       6        0   {على}-{غق}
       6        0   {عل}-{ط}
       6        0   {ف}-{ه}
       6        0   {كل}-{لا}
       6        0   {كم}-{اق}
