UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   31568   Characters
    6903   Errors
   78.13%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   78.13%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
    2828     3295      780     6903   Unmarked
    2828     3295      780     6903   Total

   Count   Missed   %Right
    6510     1277    80.38   ASCII Spacing Characters
     264       74    71.97   ASCII Special Symbols
       3        3     0.00   ASCII Digits
   23752     4425    81.37   Basic Arabic
    1039      344    66.89   Arabic Extended
   31568     6123    80.60   Total

  Errors   Marked   Correct-Generated
     764        0   { }-{}
     117        0   {ي}-{}
     117        0   {ٔ}-{}
     116        0   {في}-{ق}
     114        0   {ى}-{}
     110        0   { ،}-{.}
     106        0   {ن}-{}
     103        0   {ن}-{ل}
      99        0   {ت}-{}
      95        0   {ع}-{}
      80        0   {ف}-{}
      73        0   {ل}-{}
      71        0   {ا}-{ل}
      71        0   {ب}-{ي}
      68        0   {له}-{ف}
      68        0   {}-{ٔ}
      62        0   {ي}-{ب}
      59        0   {م}-{}
      58        0   { ،}-{..}
      50        0   {ب}-{}
      49        0   {ت}-{ي}
      45        0   { }-{؛}
      44        0   {إ}-{ل}
      42        0   {ث}-{}
      42        0   {}-{ن}
      41        0   {}-{ا}
      40        0   {}-{ }
      39        0   {ء}-{ه}
      38        0   {لح}-{خ}
      37        0   {س}-{}
      37        0   {}-{ل}
      34        0   {لم}-{ة}
      34        0   {}-{ك}
      33        0   {ح}-{}
      33        0   {ك}-{}
      33        0   {}-{ر}
      31        0   {ك}-{ج}
      31        0   {ن}-{ف}
      30        0   {ء }-{ه}
      28        0   {}-{س}
      28        0   {}-{م}
      26        0   {ث}-{ل}
      26        0   {لج}-{بف}
      25        0   {ق}-{}
      25        0   {}-{،}
      24        0   {ب}-{ل}
      24        0   {ئ}-{ل}
      23        0   {خ}-{ع}
      23        0   {س}-{م}
      23        0   {ف}-{ه}
      22        0   {ٔي}-{}
      21        0   {ع}-{ص}
      20        0   {}-{ي}
      19        0   { }-{.}
      19        0   { }-{ا}
      19        0   {ش}-{ق}
      18        0   { .}-{،}
      18        0   {، }-{}
      18        0   {ف}-{ق}
      18        0   {ك}-{ر}
      17        0   {ض}-{ف}
      16        0   { ،}-{،ء}
      16        0   {ب}-{ه}
      16        0   {ش}-{ث}
      16        0   {ش}-{ف}
      16        0   {ف}-{5}
      16        0   {لم}-{ط}
      16        0   {يه}-{بب}
      16        0   {}-{و}
      15        0   {ى}-{ي}
      15        0   {ٔ}-{ٓ}
      14        0   {،}-{}
      14        0   {مس}-{}
      14        0   {ٕ}-{}
      14        0   {}-{أ}
      13        0   {ح}-{ع}
      13        0   {ٓ}-{ٔ}
      13        0   {}-{ه}
      12        0   { ث}-{}
      12        0   {.}-{}
      12        0   {إس}-{لم}
      12        0   {إ}-{}
      12        0   {تى}-{ه}
      12        0   {خ}-{س}
      12        0   {د}-{ه}
      12        0   {ف}-{ل}
      12        0   {ن}-{ت}
      12        0   {ه}-{ع}
      12        0   {ى }-{}
      11        0   {ب}-{ن}
      11        0   {م}-{ب}
      11        0   {ه}-{ب}
      10        0   { }-{:}
      10        0   { }-{[}
      10        0   {بح}-{ي}
      10        0   {ثم}-{ف}
      10        0   {ثم}-{لا}
      10        0   {خ}-{}
      10        0   {عل}-{ط}
      10        0   {لخ}-{نف}
      10        0   {لم}-{ذ}
      10        0   {لى}-{ف}
      10        0   {ن}-{ق}
      10        0   {ين}-{ى}
      10        0   {}-{.}
      10        0   {}-{سس}
      10        0   {}-{ى}
       9        0   {إس}-{ل}
       9        0   {ت}-{ث}
       9        0   {ذ}-{ف}
       9        0   {ش}-{د}
       9        0   {غ}-{ع}
       9        0   {و}-{ر}
       9        0   {ٔنب}-{لي}
       8        0   { ،}-{،ه}
       8        0   { }-{ٔ}
       8        0   {أ}-{ل}
       8        0   {ت}-{ك}
       8        0   {ص}-{م}
       8        0   {ف}-{ظ}
       8        0   {كم}-{رق}
       8        0   {ك}-{ري}
       8        0   {مع}-{}
       8        0   {م}-{ه}
       8        0   {ئ}-{ث}
       8        0   {}-{ف}
       7        0   { }-{0}
       7        0   { }-{ك}
       7        0   {.}-{:0ن 1::}
       7        0   {ت}-{ن}
       7        0   {ث}-{ي}
       7        0   {خ}-{ح}
       7        0   {ذ}-{د}
       7        0   {ع}-{م}
       7        0   {ف}-{و}
       7        0   {ه}-{}
       7        0   {ى}-{ه}
       7        0   {ٔ}-{ٕ}
       7        0   {}-{ٕ}
       6        0   { ، }-{}
       6        0   { ،}-{؛}
       6        0   { ،}-{ا:}
       6        0   { ؛}-{،}
       6        0   { ثم}-{فا}
       6        0   { ف}-{ق}
       6        0   {، }-{ه}
       6        0   {،}-{ه}
       6        0   {أبش...}-{بقرا...}
       6        0   {با}-{أ}
       6        0   {بخ}-{ين}
       6        0   {بن}-{ه}
       6        0   {بن}-{ي}
       6        0   {ب}-{ا}
       6        0   {تح}-{ع}
       6        0   {تعال...}-{}
       6        0   {تى}-{ي}
       6        0   {ت}-{ق}
       6        0   {ثم}-{(}
       6        0   {ثم}-{ك}
       6        0   {خ}-{ص}
       6        0   {خ}-{ض}
       6        0   {سنة . }-{ عثي...}
       6        0   {سى}-{مج}
       6        0   {ش}-{م}
       6        0   {صى}-{مي}
       6        0   {ع}-{س}
       6        0   {فا}-{إ}
       6        0   {في ب...}-{ع}
       6        0   {ك}-{ع}
       6        0   {ك}-{لة}
       6        0   {لح}-{ط}
       6        0   {له}-{(}
       6        0   {لي}-{ذ}
       6        0   {نس}-{ف}
       6        0   {نم}-{ع}
       6        0   {نم}-{ه}
       6        0   {نى}-{ه}
       6        0   {ن}-{ى}
       6        0   {يح}-{ج}
       6        0   {يم }-{ع}
       6        0   {ئ}-{ف}
       6        0   {ئ}-{ق}
       6        0   {ئ}-{ك}
       6        0   {ي}-{ه}
       6        0   {ً }-{}
       6        0   {}-{:}
       6        0   {}-{اا}
       6        0   {}-{د}
       6        0   {}-{ص}
       6        0   {}-{ق}
       5        0   { . ثم}-{،لا}
       5        0   {: أن}-{لق}
       5        0   {، فل...}-{لسس}
       5        0   {إيا...}-{لبال...}
       5        0   {ت}-{ل}
       5        0   {ح}-{س}
       5        0   {خ}-{ج}
       5        0   {خ}-{ي}
       5        0   {دتي ...}-{لرق.}
       5        0   {د}-{و}
       5        0   {ع}-{ح}
       5        0   {ع}-{ه}
       5        0   {قك !}-{لف؛؛...}
       5        0   {ق}-{ف}
       5        0   {لهم ...}-{ط}
       5        0   {ل}-{ط}
       5        0   {ل}-{ٕند ...}
       5        0   {ن}-{ي}
       5        0   {و}-{}
       5        0   {ي}-{ى}
       5        0   {ٔخيك...}-{علد}
       4        0   { !}-{ا؛}
       4        0   { . ث}-{،}
       4        0   { .ثم}-{،(ا}
       4        0   { .}-{؛:}
       4        0   { ، ث}-{:}
       4        0   { ، ك}-{.ي}
       4        0   { ،}-{ا}
       4        0   { ؛ ث}-{،}
       4        0   { ؛}-{؛،}
       4        0   { ؟}-{؟2}
       4        0   { تحف}-{ففن}
       4        0   { ع}-{ص}
       4        0   { ف}-{ه}
       4        0   { يمض}-{ٔهف}
       4        0   { ي}-{}
       4        0   {!}-{؛}
       4        0   {. .1}-{0؛ا}
       4        0   {، }-{و}
       4        0   {ء}-{اه}
       4        0   {أن }-{}
       4        0   {بخ}-{يع}
       4        0   {بش}-{غ}
       4        0   {بع}-{ه}
       4        0   {بن}-{ق}
       4        0   {بن}-{يى}
       4        0   {به}-{م}
       4        0   {بي}-{ل}
       4        0   {ة . }-{ام؛}
       4        0   {تتكل}-{جيلن}
       4        0   {تح}-{}
       4        0   {تخ}-{ع}
       4        0   {تد}-{يفرٔ}
       4        0   {ترك }-{رللة}
       4        0   {ته}-{س}
       4        0   {تي ،}-{ف :-}
       4        0   {ت}-{قن}
       4        0   {ثم ق}-{(را}
       4        0   {ثم}-{(ا}
       4        0   {ثن}-{ي}
       4        0   {ج}-{ع}
       4        0   {ج}-{}
       4        0   {حت}-{ع}
       4        0   {حض}-{عف}
       4        0   {حن}-{ع}
       4        0   {حي}-{ب}
       4        0   {ح}-{ب}
       4        0   {خ}-{ت}
       4        0   {خ}-{غ}
       4        0   {د}-{ف}
       4        0   {د}-{وو}
       4        0   {ذ}-{ط}
       4        0   {ذ}-{ل}
       4        0   {ز}-{ر}
       4        0   {سم}-{مح}
       4        0   {سى ،}-{مي،ه}
       4        0   {س}-{مج}
       4        0   {شع}-{ثم}
       4        0   {ش}-{غ}
       4        0   {ص ،}-{حنر.}
       4        0   {ص}-{و}
       4        0   {عب}-{ي}
       4        0   {عك !}-{لف؛}
       4        0   {غ ثم}-{عفا}
       4        0   {ف ، }-{و.}
       4        0   {في ك}-{ق رٓ}
       4        0   {في}-{ل}
       4        0   {ك }-{لة}
       4        0   {ك}-{رج}
       4        0   {ك}-{رٓ}
       4        0   {ك}-{و}
       4        0   {لج}-{بخ}
       4        0   {لح}-{طات }
       4        0   {لح}-{ف}
       4        0   {للغن}-{اه}
       4        0   {لل}-{5}
       4        0   {لى}-{ذ}
       4        0   {لى}-{ق}
       4        0   {لي}-{ف}
       4        0   {مح}-{ع}
       4        0   {مقد}-{قلأ}
       4        0   {مقد}-{قلنٔ}
       4        0   {ملك }-{ظظف}
       4        0   {ملك }-{ككد؛}
       4        0   {م}-{ح}
       4        0   {م}-{سسعو}
       4        0   {م}-{ع}
       4        0   {م}-{ن}
       4        0   {نثى }-{قي}
       4        0   {نن}-{لكيا}
       4        0   {نه}-{سب}
       4        0   {نى}-{ي}
       4        0   {نييه}-{ي بب}
       4        0   {ن}-{ٕف}
       4        0   {ه }-{(}
       4        0   {ه }-{ة}
       4        0   {هب}-{بي}
       4        0   {هذ}-{عط}
       4        0   {هذ}-{عن}
       4        0   {ى }-{ ر}
       4        0   {ى}-{ف}
       4        0   {ي !}-{ه)؛ا}
       4        0   {يام؛}-{اء2،}
       4        0   {يت}-{ب}
       4        0   {يح}-{ع}
       4        0   {يح}-{ه}
       4        0   {يك ؟}-{لد؛}
       4        0   {يم}-{ج}
       4        0   {يم}-{ع}
       4        0   {ين ،}-{ت،ء}
       4        0   {يهدن}-{ببطر}
       4        0   {يه}-{ب}
       4        0   {ئعم}-{نه}
       4        0   {ئيل}-{فل،}
       4        0   {ئيل}-{لل،}
       4        0   {ي}-{بن}
       4        0   {ي}-{رب}
       4        0   {ي}-{ىن}
       4        0   {ٓ}-{اا}
       4        0   {ٓ}-{ٕ}
       4        0   {ٔ سل}-{ٓلن}
       4        0   {ٔس}-{ٓ}
       4        0   {ٔس}-{}
       4        0   {ٔعلى}-{ٓصط}
       4        0   {ٔع}-{ٓ}
       4        0   {ٔنوش}-{لوثي}
       4        0   {ٔ}-{إ}
       4        0   {}-{::}
       4        0   {}-{؛}
       4        0   {}-{ء}
       4        0   {}-{إ}
       4        0   {}-{ب}
       4        0   {}-{تال }
       4        0   {}-{ٔف}
       3        0   { ! }-{ص؛}
       3        0   { . }-{،}
       3        0   { . }-{ا،}
       3        0   { .ث}-{،}
       3        0   { : }-{[}
       3        0   { ،ف}-{هه}
       3        0   { ،}-{؛:د}
       3        0   { ،}-{؛؛ء}
       3        0   { ،}-{ا؛ة}
       3        0   { ،}-{ك..}
       3        0   { ،}-{كد.}
       3        0   { اب}-{أه}
       3        0   { إ}-{}
       3        0   { بح}-{جع}
       3        0   { تخ}-{ي}
       3        0   { تع}-{ي}
       3        0   { لخ}-{نف}
       3        0   { لل}-{5}
       3        0   { مخ}-{ه}
       3        0   { هذ}-{مط}
       3        0   { وك}-{وجج}
       3        0   { }-{،}
       3        0   { }-{س}
       3        0   { }-{كدٔ}
       3        0   {. ث}-{ه}
       3        0   {، ف}-{وه}
       3        0   {؛ ث}-{}
       3        0   {؛}-{ة}
       3        0   {ء !}-{ه:}
       3        0   {ء !}-{ه؛ا}
       3        0   {ء ؛}-{ ا،}
       3        0   {اله}-{لٕف}
       3        0   {اؤ}-{ل2}
       3        0   {أخ}-{فٕس}
       3        0   {أن}-{لف}
       3        0   {أن}-{لق}
       3        0   {أن}-{ي}
       3        0   {أن}-{}
       3        0   {إل}-{للي}
       3        0   {إم}-{لن}
       3        0   {إن}-{لفق}
       3        0   {إن}-{لنا}
       3        0   {بخب}-{يي}
       3        0   {بد}-{عفر}
       3        0   {بك }-{فٔ}
       3        0   {بلغ}-{فخ}
       3        0   {بن }-{يى}
       3        0   {بى }-{هي}
       3        0   {ب}-{ اي}
       3        0   {ب}-{ت}
       3        0   {ب}-{ع}
       3        0   {ة}-{ه}
       3        0   {ة}-{}
       3        0   {تجد}-{ين}
       3        0   {تحت}-{عب}
       3        0   {تحد}-{كلر}
       3        0   {تخب}-{ن}
       3        0   {ترك}-{رلة}
       3        0   {تست}-{صج}
       3        0   {تسع}-{فب}
       3        0   {تكى}-{قحل}
       3        0   {تم }-{ع}
       3        0   {تمس}-{عسن}
       3        0   {تم}-{عىن}
       3        0   {تهت}-{مبي}
       3        0   {تهم}-{بم،}
       3        0   {ت}-{أي}
       3        0   {ت}-{ر}
       3        0   {ت}-{نثة}
       3        0   {ثم}-{ف(ى}
       3        0   {ثين}-{لى}
       3        0   {ث}-{ف}
       3        0   {ث}-{ق}
       3        0   {ث}-{ك}
       3        0   {حتف}-{فو}
       3        0   {حتى}-{طه}
       3        0   {حتى}-{عي}
       3        0   {خذ}-{ٔشل}
       3        0   {خلي}-{ضط}
       3        0   {خ}-{ٔ}
       3        0   {دخ}-{فبس}
       3        0   {دي }-{فى.}
       3        0   {د}-{نفا}
       3        0   {ذة }-{له}
       3        0   {ذلك}-{فكف}
       3        0   {ذ}-{لرر}
       3        0   {رد}-{5 ف}
       3        0   {سلن}-{ط}
       3        0   {سى }-{مج؛}
       3        0   {سى }-{مي}
       3        0   {سى }-{}
       3        0   {ش }-{مهي}
       3        0   {ش}-{سعص}
       3        0   {ص}-{د}
       3        0   {ض ،}-{ف.}
       3        0   {ض}-{و}
       3        0   {على}-{سي}
       3        0   {على}-{صق}
       3        0   {عى }-{ي}
       3        0   {عى }-{}
       3        0   {غ}-{ه}
       3        0   {فان}-{أل}
       3        0   {فان}-{لنو}
       3        0   {فإ}-{ل}
       3        0   {فلم}-{لبن}
       3        0   {في }-{ق ر}
       3        0   {ف}-{ }
       3        0   {ف}-{، ق}
       3        0   {قفز}-{فر،}
       3        0   {كتب}-{رجي}
       3        0   {كث}-{جتن}
       3        0   {كل}-{مقن}
       3        0   {كم}-{رقق}
       3        0   {كم}-{مرق}
       3        0   {كو}-{رير}
       3        0   {ك}-{ق}
       3        0   {ك}-{لة،}
       3        0   {ك}-{لها}
       3        0   {ك}-{ل}
       3        0   {لام}-{فع}
       3        0   {لجب}-{بفي}
       3        0   {لجن}-{بفت}
       3        0   {لحب}-{خي}
       3        0   {لح}-{خم }
       3        0   {لخش}-{نغث}
       3        0   {لله}-{5(}
       3        0   {لمس}-{ش}
       3        0   {لمغ}-{طط}
       3        0   {لمل}-{ظظك}
       3        0   {لهم}-{فب}
       3        0   {لهن}-{ف}
       3        0   {لى }-{ف؛}
       3        0   {لى }-{ف}
       3        0   {م !}-{ء2؛}
       3        0   {م ،}-{،ة}
       3        0   {م ؟}-{ه؛}
       3        0   {مسا}-{ار}
       3        0   {معز}-{ز }
       3        0   {ملع}-{ظو}
       3        0   {ملع}-{ظ}
       3        0   {مى }-{حيي}
       3        0   {م}-{س}
       3        0   {ن }-{لم؛}
       3        0   {ن،ف}-{ى و}
       3        0   {ناك}-{الق}
       3        0   {نعل}-{قط}
       3        0   {نك }-{لي؛}
       3        0   {ني }-{ل}
       3        0   {ن}-{ ؛2}
       3        0   {ن}-{لة }
       3        0   {هكذ}-{عل}
       3        0   {ه}-{م}
       3        0   {وآ}-{ر؟)}
       3        0   {ى !}-{؛؛1}
       3        0   {ى ؟}-{؛؛}
       3        0   {ى ش}-{ف}
       3        0   {يمش}-{عث}
       3        0   {ين }-{ى}
       3        0   {يه}-{ بب}
       3        0   {ئا}-{ ه}
       3        0   {ئا}-{ا،}
       3        0   {ئة}-{لة }
       3        0   {ئت}-{ل}
       3        0   {ئك}-{لف}
       3        0   {ئي}-{ق}
       3        0   {ئي}-{لل}
       3        0   {ئي}-{ل}
       3        0   {ي}-{ر}
       3        0   {ً}-{}
       3        0   {ٓته}-{قب}
       3        0   {ٓمن}-{ٔفت}
       3        0   {ٓ}-{}
       3        0   {ٔبن}-{ه}
       3        0   {ٔكس}-{ج}
       3        0   {ٔنت}-{لي}
       3        0   {ٔنك}-{تكد}
       3        0   {ٔنه}-{}
       3        0   {ٔن}-{ٕفب}
       3        0   {ٔيل}-{ل،}
       3        0   {ٔ}-{لآ}
       3        0   {ٕنج}-{اه}
       3        0   {ٕنج}-{ي}
       3        0   {ٕ}-{م}
       3        0   {}-{2}
       3        0   {}-{عل }
       3        0   {}-{ع}
       3        0   {}-{ك،ء}
       2        0   { !}-{:}
       2        0   { !}-{؛)}
       2        0   { !}-{؛ا}
       2        0   { !}-{؛]}
       2        0   { !}-{ك؛}
       2        0   { !}-{و؛}
       2        0   { .}-{.،}
       2        0   { .}-{.ه}
       2        0   { .}-{ا0}
       2        0   { ،}-{(ة}
       2        0   { ،}-{-}
       2        0   { ،}-{.-}
       2        0   { ،}-{،-}
       2        0   { ،}-{،ة}
       2        0   { ،}-{،م}
       2        0   { ،}-{؛ء}
       2        0   { ،}-{ا.}
       2        0   { ،}-{ف.}
       2        0   { ،}-{ٔ.}
       2        0   { ،}-{[}
       2        0   { ؛}-{..}
       2        0   { ؛}-{،م}
       2        0   { ؛}-{؛ه}
       2        0   { ؛}-{ا}
       2        0   { ؛}-{و،}
       2        0   { ا}-{أ}
       2        0   { ا}-{ل}
       2        0   { ث}-{ة}
       2        0   { د}-{ف}
       2        0   { د}-{و}
       2        0   { ش}-{ث}
       2        0   { ع}-{}
       2        0   { ف}-{ظ}
       2        0   { ف}-{}
       2        0   { ك}-{ور}
       2        0   { }-{(}
       2        0   { }-{0ز}
       2        0   { }-{ء}
       2        0   { }-{ا؛}
       2        0   { }-{ة}
       2        0   { }-{د}
       2        0   { }-{ز}
       2        0   { }-{ك؛}
       2        0   { }-{كد}
       2        0   { }-{مز}
       2        0   { }-{ن}
       2        0   { }-{ه}
       2        0   { }-{و}
       2        0   { }-{ى}
       2        0   {! }-{}
       2        0   {!}-{؛4}
       2        0   {!}-{؛ا}
       2        0   {!}-{؛ٕ}
       2        0   {. }-{،ه}
       2        0   {. }-{،و}
       2        0   {.2}-{؛ا}
       2        0   {.ث}-{،}
       2        0   {.ف}-{ق}
       2        0   {.}-{،ه}
       2        0   {.}-{،و}
       2        0   {: }-{ ز}
       2        0   {، }-{و)}
       2        0   {،ف}-{ءا}
       2        0   {،}-{.}
       2        0   {،}-{ء }
       2        0   {؛}-{م}
       2        0   {؟ }-{}
       2        0   {ء }-{لا}
       2        0   {ء }-{ه.}
       2        0   {ء }-{ه0}
       2        0   {ء }-{هو}
       2        0   {ا }-{ير}
       2        0   {اب}-{ي}
       2        0   {اخ}-{لٕ}
       2        0   {أ}-{لٕ}
       2        0   {أ}-{}
       2        0   {إ}-{ف}
       2        0   {إ}-{لم}
       2        0   {ا}-{ف}
       2        0   {ا}-{ه}
       2        0   {ا}-{}
       2        0   {بب}-{ي}
       2        0   {بت}-{لي}
