UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   28631   Characters
    2211   Errors
   92.28%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   92.28%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
     277      783     1151     2211   Unmarked
     277      783     1151     2211   Total

   Count   Missed   %Right
    4709      124    97.37   ASCII Spacing Characters
     564      122    78.37   ASCII Special Symbols
     211       99    53.08   ASCII Digits
      59       59     0.00   Latin1 Special Symbols
   22229      548    97.53   Basic Arabic
     859      108    87.43   Arabic Extended
   28631     1060    96.30   Total

  Errors   Marked   Correct-Generated
     730        0   {}-{. }
      87        0   {}-{ }
      63        0   { }-{}
      60        0   {ٔ}-{}
      47        0   {ح}-{خ}
      27        0   {ى}-{ي}
      24        0   {ئ}-{ث}
      18        0   {}-{. ا}
      17        0   {ـ}-{س}
      15        0   {ن}-{ث}
      15        0   {ى}-{ي. }
      14        0   {}-{ي}
      13        0   {ى}-{ف}
      12        0   {ت}-{ث}
      11        0   {ى}-{}
      11        0   {}-{.}
      10        0   {ب}-{ي}
      10        0   {ه}-{ة}
      10        0   {}-{:.}
      10        0   {«}-{)}
       9        0   {}-{م}
       9        0   {}-{ٔ}
       8        0   {(2) }-{ )ا(}
       8        0   {(2) }-{)1(}
       8        0   {(}-{ )}
       8        0   {) }-{(}
       8        0   {:}-{}
       8        0   {،}-{}
       8        0   {ع}-{غ}
       7        0   {خ}-{ج}
       7        0   {س}-{ش}
       7        0   {غ}-{ع}
       7        0   {ى}-{ت}
       7        0   {ى}-{س}
       7        0   {}-{،}
       6        0   {(3) .}-{ 1..1ه}
       6        0   {) }-{(.}
       6        0   {ت}-{ي}
       6        0   {ح}-{ج}
       6        0   {د}-{ذ}
       6        0   {غ}-{ف}
       6        0   {ى}-{كي}
       6        0   {ٓ}-{}
       6        0   {ٕ}-{}
       6        0   {}-{.. }
       6        0   {}-{ب}
       6        0   {}-{ه}
       6        0   {}-{ي. }
       6        0   {«}-{. ا}
       6        0   {«}-{ا}
       6        0   {» }-{}
       5        0   {(3) .}-{ ،.ا}
       5        0   {(3) .}-{ و(.ا}
       5        0   {)}-{(}
       5        0   {55 }-{. ههه}
       5        0   {57-}-{. ادر}
       5        0   {ـ}-{}
       5        0   {ن}-{ت}
       5        0   {ئة}-{ثة.. }
       5        0   {ٓ}-{ٔ}
       5        0   {}-{. م3م}
       5        0   {}-{ا}
       5        0   {}-{د}
       5        0   {}-{ك}
       4        0   { (2)}-{1..}
       4        0   {(1) }-{::،(}
       4        0   {(2) }-{ )1(}
       4        0   {(2) }-{1.}
       4        0   {(2)}-{ ر11}
       4        0   {(3) }-{ )ا(}
       4        0   {(3) }-{ا1.}
       4        0   {)}-{..}
       4        0   {3}-{. }
       4        0   {4) .}-{..1؟}
       4        0   {5}-{. }
       4        0   {65}-{. مه}
       4        0   {66}-{.ا9ه}
       4        0   {ائة}-{ثة. }
       4        0   {ب}-{}
       4        0   {د}-{ن}
       4        0   {د}-{ٔذ}
       4        0   {س}-{ق}
       4        0   {صر}-{ييمي}
       4        0   {ىء}-{قه}
       4        0   {ى}-{ك}
       4        0   {ي(3)}-{ىن[(}
       4        0   {ئة}-{ثة. }
       4        0   {ئت}-{ثت. }
       4        0   {ئـم}-{نم. }
       4        0   {ٔة}-{ة. )}
       4        0   {}-{... }
       4        0   {}-{ت}
       4        0   {}-{سس. }
       4        0   {}-{س}
       4        0   {}-{ف}
       4        0   {}-{ل}
       4        0   {}-{ن}
       4        0   {» }-{ء}
       4        0   {» }-{ة}
       4        0   {»(2)}-{ ،..}
       4        0   {»}-{؛}
       3        0   { » }-{(ة}
       3        0   { » }-{ة}
       3        0   {(2)}-{ 11}
       3        0   {(2)}-{1..}
       3        0   {(2)}-{1.}
       3        0   {(3)}-{ 1(}
       3        0   {(3)}-{ [(}
       3        0   {(}-{ }
       3        0   {(}-{را،}
       3        0   {(}-{}
       3        0   {) :}-{((}
       3        0   {.58}-{ده}
       3        0   {.85}-{هه}
       3        0   {.}-{}
       3        0   {118}-{.بر}
       3        0   {2}-{. و}
       3        0   {48 }-{ دق}
       3        0   {49 }-{.2}
       3        0   {50}-{..ر}
       3        0   {51}-{1ده}
       3        0   {5}-{}
       3        0   {64}-{92ه}
       3        0   {6}-{ }
       3        0   {87}-{.اه}
       3        0   {88}-{ ده}
       3        0   {8}-{م( }
       3        0   {8}-{}
       3        0   {: «}-{ 1ه}
       3        0   {بن }-{}
       3        0   {ث}-{ت. }
       3        0   {در}-{كاذ}
       3        0   {ذ}-{د. }
       3        0   {زكي}-{رشى}
       3        0   {س}-{م}
       3        0   {ع}-{ء. }
       3        0   {ف}-{ق}
       3        0   {ق}-{ن}
       3        0   {ند}-{يقق}
       3        0   {ه}-{. م}
       3        0   {ه}-{ع}
       3        0   {ه» }-{مة}
       3        0   {ىء}-{تئ}
       3        0   {ى}-{ت. }
       3        0   {ى}-{سسي}
       3        0   {ى}-{سفي}
       3        0   {ى}-{ف. }
       3        0   {ير}-{ر. }
       3        0   {ئة}-{ثة }
       3        0   {ي}-{}
       3        0   {ٔ}-{ٕ}
       3        0   {}-{. د}
       3        0   {}-{. ه}
       3        0   {}-{...}
       3        0   {}-{.ر }
       3        0   {}-{:.ا}
       3        0   {}-{،. }
       3        0   {}-{د11}
       3        0   {}-{ر}
       3        0   {}-{ص}
       3        0   {}-{له }
       3        0   {}-{م( }
       3        0   {}-{نمد}
       3        0   {}-{ه. }
       3        0   {}-{و}
       3        0   {}-{ٔ. }
       3        0   {«}-{. )}
       3        0   {»}-{ة}
       2        0   { (}-{ر}
       2        0   { (}-{س}
       2        0   { -}-{29}
       2        0   { -}-{ه3}
       2        0   { -}-{ه}
       2        0   { :}-{وز}
       2        0   { م}-{ش}
       2        0   { }-{ه}
       2        0   {(}-{ ر}
       2        0   {) }-{(1}
       2        0   {) }-{}
