UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   26416   Characters
    2086   Errors
   92.10%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   92.10%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
     272      709     1105     2086   Unmarked
     272      709     1105     2086   Total

   Count   Missed   %Right
    4357      117    97.31   ASCII Spacing Characters
     565      139    75.40   ASCII Special Symbols
     225       87    61.33   ASCII Digits
      30       30     0.00   Latin1 Special Symbols
   20426      502    97.54   Basic Arabic
     813      106    86.96   Arabic Extended
   26416      981    96.29   Total

  Errors   Marked   Correct-Generated
     694        0   {}-{. }
      65        0   {}-{ }
      57        0   { }-{}
      50        0   {ئ}-{ث}
      50        0   {ٔ}-{}
      45        0   {ح}-{خ}
      32        0   {ـ}-{س}
      29        0   {ى}-{ي}
      18        0   {- }-{}
      18        0   {}-{. ا}
      16        0   {ت}-{ث}
      16        0   {}-{.}
      15        0   {ى}-{ي. }
      14        0   {}-{ي}
      12        0   {(2) }-{ )1(}
      12        0   {}-{.. }
      11        0   {ح}-{ج}
      10        0   {ى}-{ت}
      10        0   {ٓ}-{}
      10        0   {}-{ك}
      10        0   {}-{م}
       9        0   {ب}-{ي}
       9        0   {غ}-{ع}
       9        0   {ه}-{ة}
       9        0   {}-{ل}
       8        0   {)}-{(}
       8        0   {تابم...}-{قفي. ...}
       8        0   {ن}-{ث}
       8        0   {}-{ف}
       7        0   {}-{ا}
       7        0   {}-{س}
       6        0   {) }-{(}
       6        0   {5 }-{}
       6        0   {ث}-{ت}
       6        0   {ع}-{غ}
       6        0   {و}-{}
       6        0   {ى}-{ف. }
       6        0   {ى}-{ف}
       6        0   {ى}-{كي}
       6        0   {}-{. ه}
       6        0   {}-{..}
       6        0   {}-{،}
       6        0   {}-{ء. }
       6        0   {}-{سس}
       6        0   {«}-{. )}
       5        0   {(}-{}
       5        0   {2}-{. يام}
       5        0   {،}-{}
       5        0   {ن}-{ت}
       5        0   {ى}-{س}
       5        0   {ي}-{ب}
       5        0   {ي}-{ث}
       5        0   {ٕ}-{}
       5        0   {}-{ر}
       4        0   {(2) }-{ )11}
       4        0   {(2) }-{ 1(}
       4        0   {(2) }-{ 1،}
       4        0   {(2) }-{ ا(.}
       4        0   {(2) }-{)ا(.}
       4        0   {(2) }-{و1..}
       4        0   {(2).}-{،.. }
       4        0   {(2)}-{1،..}
       4        0   {(3) }-{ )،(}
       4        0   {(3) }-{ ب،(}
       4        0   {(3) }-{و،(.}
       4        0   {(4) }-{)1،.}
       4        0   {(5).}-{و،. }
       4        0   {.}-{}
       4        0   {1) .}-{.اه}
       4        0   {105 }-{9 1}
       4        0   {2).}-{.. ه}
       4        0   {27 -}-{. ا2}
       4        0   {3)}-{..}
       4        0   {58] }-{ده0.}
       4        0   {7}-{م(. }
       4        0   {8}-{.ر. }
       4        0   {:}-{}
       4        0   {خ}-{ج}
       4        0   {د}-{ذ}
       4        0   {د}-{ه}
       4        0   {ز}-{ر}
       4        0   {س}-{ق}
       4        0   {ض}-{ص}
       4        0   {غ}-{ف}
       4        0   {ــ}-{سس}
       4        0   {هه}-{ء. م}
       4        0   {ى}-{}
       4        0   {ئة}-{ثة. }
       4        0   {ي}-{ت}
       4        0   {ٓ}-{ٔ}
       4        0   {}-{. هه}
       4        0   {}-{... }
       4        0   {}-{.ا}
       4        0   {}-{: }
       4        0   {}-{:.}
       4        0   {}-{هع3 }
       4        0   {}-{ه}
       4        0   {«}-{)}
       4        0   {» }-{ة}
       3        0   {(2)}-{ 1(}
       3        0   {(2)}-{)1،}
       3        0   {(3)}-{ 1.}
       3        0   {(3)}-{ [(}
       3        0   {(3)}-{ }
       3        0   {(3)}-{ب،.}
       3        0   {(4)}-{)1(}
       3        0   {(}-{ }
       3        0   {(}-{. )}
       3        0   {)82}-{(2ه}
       3        0   {)}-{:. }
       3        0   {.83}-{ع3ه}
       3        0   {.84}-{4ه}
       3        0   {2}-{.. }
       3        0   {3) }-{1.}
       3        0   {37-}-{ س.}
       3        0   {4) }-{...}
       3        0   {4) }-{1..}
       3        0   {5}-{}
       3        0   {6 -}-{م2}
       3        0   {6}-{}
       3        0   {78}-{ هي}
       3        0   {7}-{.ا2}
       3        0   {ائ}-{ث}
       3        0   {ب}-{}
       3        0   {ث}-{ك. }
       3        0   {ث}-{ي. }
       3        0   {ث}-{ي}
       3        0   {د}-{ل}
       3        0   {ذ}-{د}
       3        0   {ر}-{}
       3        0   {ع}-{ق}
       3        0   {ـ}-{}
       3        0   {ف}-{. ن}
       3        0   {ق}-{ف}
       3        0   {ك ف}-{ق}
       3        0   {ك(}-{لت }
       3        0   {ل}-{}
       3        0   {مذك}-{ثدي}
       3        0   {م}-{ه)1}
       3        0   {ن ذ}-{بمل}
       3        0   {ه}-{ة. }
       3        0   {ى}-{سيي}
       3        0   {يى}-{ص. }
       3        0   {ئة}-{ثة }
       3        0   {ي}-{ت. }
       3        0   {ي}-{ر. }
       3        0   {ٕست}-{اشي}
       3        0   {}-{ )1}
       3        0   {}-{ مو}
       3        0   {}-{. )}
       3        0   {}-{. د}
       3        0   {}-{...}
       3        0   {}-{.اا}
       3        0   {}-{.ر }
       3        0   {}-{:}
       3        0   {}-{ر. }
       3        0   {}-{رو1}
       3        0   {}-{من }
       3        0   {}-{ه. }
       3        0   {}-{و}
       3        0   {}-{ى}
       3        0   {}-{ٔ}
       3        0   {»}-{ه}
       2        0   { )}-{(}
       2        0   { -}-{ع}
       2        0   { -}-{ه3}
       2        0   { -}-{ي}
       2        0   { }-{ر}
       2        0   {!}-{..}
       2        0   {!}-{ا[}
       2        0   {(1}-{ }
       2        0   {(}-{ )}
       2        0   {(}-{ ر}
       2        0   {(}-{)}
       2        0   {(}-{ر}
       2        0   {(}-{و،}
       2        0   {) }-{.}
       2        0   {) }-{6؛}
       2        0   {) }-{}
       2        0   {)}-{..}
       2        0   {)}-{ا}
       2        0   {.}-{ م}
       2        0   {.}-{:}
       2        0   {0}-{}
       2        0   {1}-{. }
       2        0   {28}-{و}
       2        0   {30}-{}
       2        0   {38}-{..}
       2        0   {6}-{. }
       2        0   {77}-{اء}
       2        0   {8 }-{}
