UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   30455   Characters
    2751   Errors
   90.97%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   90.97%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
     726      909     1116     2751   Unmarked
     726      909     1116     2751   Total

   Count   Missed   %Right
    5230      364    93.04   ASCII Spacing Characters
     632      295    53.32   ASCII Special Symbols
     194      122    37.11   ASCII Digits
       1        1     0.00   ASCII Lowercase Letters
      14       14     0.00   Latin1 Special Symbols
   23323      573    97.54   Basic Arabic
    1061      266    74.93   Arabic Extended
   30455     1635    94.63   Total

  Errors   Marked   Correct-Generated
     712        0   {}-{. }
     321        0   { }-{}
     154        0   {ٔ}-{}
      41        0   {ى}-{ي}
      36        0   {ئ}-{ث}
      21        0   {ء}-{ه}
      20        0   {ٔ}-{ٕ}
      18        0   {}-{س}
      18        0   {}-{ص}
      16        0   {ي}-{ث}
      16        0   {}-{ }
      15        0   {[}-{]}
      15        0   {}-{ع}
      14        0   {م}-{}
      14        0   {ى}-{}
      13        0   {ع}-{}
      13        0   {و}-{د}
      13        0   {}-{ى}
      12        0   {د}-{ذ}
      12        0   {ٕ}-{}
      10        0   {حت}-{شى}
      10        0   {حت}-{ش}
      10        0   {هى}-{صي}
      10        0   {و}-{}
      10        0   {ٓ}-{}
      10        0   {ٔ}-{. }
      10        0   {}-{و}
      10        0   {}-{ٔ}
       9        0   {(2)}-{و1(}
       9        0   {)}-{(}
       9        0   {:}-{}
       9        0   {ت}-{ش}
       9        0   {ى}-{ي. }
       9        0   {}-{2}
       9        0   {}-{ي}
       8        0   {(2)}-{ )1(}
       8        0   {(5)}-{ )ي(}
       8        0   {د}-{ي}
       8        0   {ي}-{}
       8        0   {ٔ}-{ٓ}
       8        0   {}-{:.}
       7        0   {/}-{و}
       7        0   {6}-{ سـب...}
       7        0   {ث](6)}-{دد[)،. }
       7        0   {خ}-{ح}
       7        0   {دخلت...}-{ههطق...}
       7        0   {ل}-{}
       7        0   {}-{. سسب...}
       6        0   {(}-{ )}
       6        0   {/}-{ة}
       6        0   {65/}-{. م)9و}
       6        0   {77-س}-{23 م ص}
       6        0   {بي}-{ف}
       6        0   {د}-{و}
       6        0   {عم}-{4}
       6        0   {ؤ}-{1}
       6        0   {ؤ}-{ا}
       6        0   {ى}-{تي}
       6        0   {ٔي}-{ي. }
       6        0   {[}-{. ]}
       6        0   {](3) د}-{ كم}
       6        0   {](}-{[)}
       6        0   {]}-{[}
       6        0   {}-{.. }
       6        0   {}-{ب}
       6        0   {}-{ل}
       5        0   { 67/ب}-{7وب. }
       5        0   {(1)}-{دو::.}
       5        0   {(3)}-{ وب[(}
       5        0   {(4)}-{ ) 11}
       5        0   {)(4)}-{ه و 1}
       5        0   {183- }-{طد1 ر}
       5        0   {3).}-{.. د؟}
       5        0   {66/أ}-{مهدم}
       5        0   {69/}-{.ا2او}
       5        0   {،](4)}-{0[)1(}
       5        0   {ء[4] }-{ه 1(2}
       5        0   {ا(2).}-{ق،.. }
       5        0   {ب}-{}
       5        0   {ح}-{}
       5        0   {ئذ}-{ثده. }
       5        0   {](3)}-{اوب،...}
       5        0   {](3)}-{إ 1ا}
       5        0   {](3)}-{[ٕوا(}
       5        0   {](4) }-{ [و10}
       5        0   {](4)}-{23ٔس(}
       5        0   {](4)}-{امال...}
       5        0   {]}-{؛ٕ.: }
       5        0   {}-{م}
       5        0   {}-{ن}
       4        0   { 56/}-{[ه و}
       4        0   { [}-{]}
       4        0   { }-{و}
       4        0   {(2)}-{ ا1ا}
       4        0   {(2)}-{ و1(}
       4        0   {(3) }-{ و(1}
       4        0   {(3)}-{ وا(}
       4        0   {(7)}-{ وا(}
       4        0   {/}-{دو}
       4        0   {/}-{ه}
       4        0   {1)}-{. }
       4        0   {5/ب}-{وب. }
       4        0   {6)}-{((. }
       4        0   {،}-{}
       4        0   {ب}-{ي}
       4        0   {تر}-{}
       4        0   {ثم}-{. ته}
       4        0   {ثن}-{قش}
       4        0   {د }-{و}
       4        0   {د}-{ف}
       4        0   {ر(2)}-{وا ا}
       4        0   {ر}-{}
       4        0   {سن}-{. صل}
       4        0   {غن}-{عبو1}
       4        0   {لى}-{ق}
       4        0   {م(4)}-{و )1}
       4        0   {ؤ}-{ف}
       4        0   {ى(4)}-{ و1(}
       4        0   {ى<p>}-{ي. }
       4        0   {ير](}-{قإب}
       4        0   {ٓ}-{ٕ}
       4        0   {ٔربع}-{هيه}
       4        0   {](2)}-{[)1(}
       4        0   {](3)}-{إو(}
       4        0   {}-{ ر. }
       4        0   {}-{ و}
       4        0   {}-{تـ}
       4        0   {}-{د}
       4        0   {}-{ـ}
       4        0   {}-{ممقة}
       4        0   {}-{ٕ}
       4        0   {»}-{2ه}
