UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
   30455   Characters
    2224   Errors
   92.70%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   92.70%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
     891      816      517     2224   Unmarked
     891      816      517     2224   Total

   Count   Missed   %Right
    5230      523    90.00   ASCII Spacing Characters
     632      273    56.80   ASCII Special Symbols
     194      137    29.38   ASCII Digits
       1        1     0.00   ASCII Lowercase Letters
      14       14     0.00   Latin1 Special Symbols
   23323      501    97.85   Basic Arabic
    1061      258    75.68   Arabic Extended
   30455     1707    94.40   Total

  Errors   Marked   Correct-Generated
     442        0   { }-{}
     232        0   {}-{ }
     154        0   {ٔ}-{}
      32        0   {ئ}-{ث}
      29        0   {ٕ}-{}
      23        0   {ء}-{ه}
      16        0   {(2)}-{ )1(}
      16        0   {[}-{]}
      15        0   {/}-{ف}
      15        0   {ى}-{ي}
      14        0   {(}-{ )}
      13        0   {ى}-{ه}
      13        0   {ى}-{}
      12        0   {في}-{ق}
      12        0   {ل}-{}
      12        0   {}-{س}
      11        0   { }-{و}
      11        0   {م}-{}
      11        0   {}-{ا}
      11        0   {}-{م}
      10        0   {)}-{( }
      10        0   {د}-{ذ}
      10        0   {و}-{}
       9        0   { }-{ر}
       9        0   {)}-{(}
       9        0   {ٔ}-{ٓ}
       8        0   { أر...}-{)ٔهه...}
       8        0   { [}-{]}
       8        0   {ت}-{}
       8        0   {ع}-{م}
       8        0   {ي}-{ى}
       7        0   {):186}-{ا1 سر9...}
       7        0   {دخلت...}-{هظظه...}
       7        0   {ق}-{ف}
       7        0   {}-{و}
       7        0   {}-{ٔ}
       6        0   { ص}-{ا}
       6        0   { ص}-{}
       6        0   {(4):}-{ ) 11(}
       6        0   {ء[4] }-{ه ) 1(}
       6        0   {بي}-{ه}
       6        0   {طئ}-{ظث}
       6        0   {ع}-{}
       6        0   {ف}-{ق}
       6        0   {ؤ}-{ا}
       6        0   {و}-{د}
       6        0   {ي }-{}
       6        0   {ير](3)}-{[ٕ)ر}
       6        0   {ٓ}-{}
       6        0   {ٔ }-{}
       6        0   {ٔ}-{ا}
       6        0   {]}-{ا[}
       6        0   {}-{1( }
       5        0   { }-{ }
       5        0   {(8)،}-{ )د(ا}
       5        0   {(}-{)؟2 .}
       5        0   {(}-{)}
       5        0   {. 62/}-{ ؛1هم}
       5        0   {70/ب}-{،ومم...}
       5        0   {،}-{}
       5        0   {ر}-{ز}
       5        0   {ش]}-{ثمم[...}
